HH_ID,PER_ID,TOUR_ID,TRIP_ID,LEG_DEST_PLACENO,JTRIP_ID,NUMBER_HH,CHAUFFUER_ID,ORIG_DEP_HR,ORIG_DEP_MIN,DEST_ARR_HR,DEST_ARR_MIN,DEST_PURP,PARTY,ERROR
18114244,3,1,1,2,1,2,nan,7,0,7,23,3,3_4,""
18114244,4,1,1,2,1,2,nan,7,0,7,23,3,3_4,""
18114244,2,2,3,14,2,2,nan,17,10,17,26,0,2_4,""
18114244,4,1,2,3,2,2,nan,17,10,17,33,0,2_4,""
18114244,2,2,3,14,3,2,nan,17,26,17,31,0,1_1_2,""
18114244,2,2,3,14,3,2,nan,17,31,17,33,0,1_1_2,""
18114695,1,1,1,2,1,3,1,9,1,9,13,5,1_3_4,""
18114695,3,1,1,2,1,3,1,9,1,9,13,5,1_3_4,""
18114695,4,1,1,2,1,3,1,9,1,9,13,5,1_3_4,""
18114695,1,1,2,3,2,3,1,11,7,11,14,9,1_3_4,""
18114695,3,1,2,3,2,3,1,11,7,11,14,9,1_3_4,""
18114695,4,1,2,3,2,3,1,11,7,11,14,9,1_3_4,""
18114695,1,1,3,4,3,3,1,11,15,11,22,0,1_3_4,""
18114695,3,1,3,4,3,3,1,11,15,11,22,0,1_3_4,""
18114695,4,1,3,4,3,3,1,11,15,11,22,0,1_3_4,""
18114695,1,2,1,5,4,3,1,15,49,15,53,5,1_3_4,""
18114695,3,2,1,5,4,3,1,15,49,15,53,5,1_3_4,""
18114695,4,2,1,5,4,3,1,15,49,15,53,5,1_3_4,""
18114695,1,2,2,6,5,3,1,16,9,16,20,8,1_3_4,""
18114695,3,2,2,6,5,3,1,16,9,16,20,8,1_3_4,""
18114695,4,2,2,6,5,3,1,16,9,16,20,8,1_3_4,""
18114695,1,2,3,7,6,3,1,16,33,16,46,1,1_3_4,""
18114695,3,2,3,7,6,3,1,16,33,16,46,9,1_3_4,""
18114695,4,2,3,7,6,3,1,16,33,16,46,7,1_3_4,""
18114695,1,2,4,8,7,3,1,16,54,17,1,0,1_3_4,""
18114695,3,2,4,8,7,3,1,16,54,17,1,0,1_3_4,""
18114695,4,2,4,8,7,3,1,16,54,17,1,0,1_3_4,""
18115411,2,1,1,2,nan,2,2,6,42,6,58,4,1_1_2,"E: Number of joint trips departing at 6:42 differs from at least one of the reported travel group size"
18115411,2,1,2,3,nan,2,2,6,58,7,20,4,1_1_2,"E: Number of joint trips departing at 6:58 differs from at least one of the reported travel group size"
18115411,2,2,2,6,nan,2,2,18,34,19,8,7,1_1_2,"E: Number of joint trips departing at 18:34 differs from at least one of the reported travel group size"
18115411,1,1,2,4,nan,2,nan,18,48,19,15,7,1_1_1,"E: Number of joint trips departing at 18:48 differs from at least one of the reported travel group size"
18115411,1,1,3,5,1,2,2,22,20,23,6,0,1_2,""
18115411,2,2,3,7,1,2,2,22,22,23,7,0,1_2,""
18119342,2,1,3,4,1,2,2,16,11,16,18,0,2_3,""
