HH_ID,JTRIP_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,PERSON_10,PERSON_11,COMPOSITION
18117111,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,2,2,2,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,3,2,2,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,4,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,5,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,6,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,7,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,8,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,9,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18119342,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119342,2,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,2,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,3,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,4,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18121526,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18121526,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18121526,3,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18121526,4,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18121526,5,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18121526,6,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18121526,7,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18121526,8,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18121526,9,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
