HH_ID,JTOUR_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,COMPOSITION,JOINT_PURP
18117111,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,3
18119342,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,1
18121526,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18123180,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18124224,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
18135206,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,5
18135206,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,5
18143483,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18144393,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18144664,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,5
18147569,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18147569,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18154286,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,4
18160621,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
18174168,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18178955,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,9
18180901,1,4,1,3,4,5,nan,nan,nan,nan,nan,3,8
18192291,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,1
18196877,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,6
18196877,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,6
18214550,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18214550,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18233579,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,7
18235553,1,4,1,2,3,4,nan,nan,nan,nan,nan,3,9
18244949,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18248717,1,2,1,8,nan,nan,nan,nan,nan,nan,nan,3,9
