"purpose","avgTripLength"
"esco",6.00063593484389
"imain",8.9581934814638
"idisc",6.48329892964264
"jmain",6.00770679521887
"jdisc",5.26631413854572
"atwork",3.74046204787704
"Total",7.04112055838633
