"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",4626.11127347078,0,11379.307654748,134400.394730062,95925.9180949466,107703.705952197,23872.6226254551,39011.4466834762,86486.1259404139
"2",5558.86232086998,1545.89886416758,11363.4712660339,167351.147466846,209585.999938432,202711.081666526,70519.7067456571,79843.7020557902,98959.3808832942
"3",11197.9415984244,1400.65443234416,7899.28487711335,62621.1555049654,174930.715734404,173364.517234338,35943.3862927505,48236.0717064698,31942.5544412116
"4",16483.5504456942,306.43955501452,4335.12710165433,30083.1328739069,108030.474953294,99299.2101164296,17200.4281967806,26448.5168980802,11195.0767058654
"5",29212.7681359501,3561.78401218965,3409.88521498912,17515.9606772955,71103.0031822105,68574.1693043709,9386.09628655265,10064.6945353218,4276.27146937334
"6",35753.9964677757,3662.33577282588,6248.66248614953,10625.0445599309,44715.0609056552,44541.6803659253,1711.3490072402,1387.2699000101,1568.7900427515
"7",37998.0291001183,5803.98998273741,11388.4287862131,6851.68633407331,35734.9586653571,18977.9793953088,514.059892362672,2126.98699305773,844.290178658799
"8",43848.2072254542,3839.18294475604,58660.9845280774,8746.17437331633,34789.0629223703,15148.2668300065,7160.7746497389,587.395086226311,2943.06764149973
"9",77617.0555430353,2877.97148887179,89278.8831479113,11518.4431168063,36809.4437762719,11174.9310836213,817.39020860727,1346.36890856091,1412.73664615538
"10",184102.641706673,2213.87520774077,44724.1353311793,18732.1227760796,51201.9388495187,9323.77413924543,106.688857716681,51.2774585277622,134.545340397835
"11",252842.12644783,502.574235828409,32650.0873101792,20147.2905431176,70162.8414145582,6483.14196412934,1417.49294563875,0,84.3159848808276
"12",156487.944607598,715.808048275293,15381.8168930367,14001.9341093855,45828.6042951033,7923.79888389336,0,726.440515858257,1455.88168988939
"13",73032.56056625,1839.1171704541,10243.1695607932,4250.99290263237,29194.4586346649,4602.89744664959,0,0,52.3162174651442
"14",36049.3677249576,730.494116017215,6498.46538189366,1687.55149420206,11922.5719074638,1619.84728139561,0,48.7007276613003,0
"15",23158.7989387139,650.284948518811,370.439848000017,1635.561226905,8318.98937301384,1559.59487339542,0,0,0
"16",12177.5870165475,711.988511524796,570.825375770407,92.4047283440657,3592.39141878188,784.727938763672,0,0,0
"17",2134.00877463642,178.643403447463,694.858667565699,16.2257820480557,1572.41228585509,296.134284974232,0,0,0
"18",782.198126443267,0,0,0,545.561715644341,349.789725396877,0,0,0
