"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",258172.947288487,12532.468083771,2231.01970665109,4164.52527474262,17.1778181189488,2725.17281910586,0,0,0,615.795311130441
"2",5902.71566563574,57857.0498192944,2887.48590450772,1195.99617733445,24.4338646760826,29.5496186458393,0,0,140.032481919637,0
"3",1402.57928692999,378.551085365922,16935.9211482758,163.667328520701,17.1778181189488,49.7995102446304,0,0,0,0
"4",2136.07473578782,2069.59307592442,1060.2265750301,114770.298204294,452.283526799943,1721.59746626633,24.2735375275938,0,719.249662395558,0
"5",0,0,0,70.7783360035253,1232.80617996062,0,0,0,0,0
"6",374.379768361005,0,0,26.024773649952,0,9799.97814871645,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0
"9",0,0,16.5372318208633,0,0,0,0,0,482.987821137339,0
"10",37.2087715969425,0,0,0,0,0,0,0,0,762.895928784732
"11",1390.50700862091,87.8958139809449,0,1127.34966045535,0,12.4498775611576,0,0,0,12.4857461576811
