"","PERTYPE","freq"
"1",1,1586878.26210707
"2",2,238910.328495461
"3",3,122185.353585464
"4",4,141190.372734594
"5",5,433527.480086366
"6",6,109206.267071506
"7",7,511322.657631062
"8",8,211020.974892091
