"PERTYPE","tour0","tour1","tour2","tour3pl"
"1",1,413269.467479947,345945.69064831,232077.523805679,654507.63010663
"2",2,55345.0160460431,58359.9080849584,35326.7620254835,104452.106759385
"3",3,32568.5248029694,25859.920247195,17861.3006385049,55751.0956028315
"4",4,40980.8438835934,41497.8029061647,18741.7049990099,80950.8648294195
"5",5,111616.08158521,200781.053070011,67917.3624782841,164829.064538071
"6",6,55214.2641502698,28069.8246570862,13934.7252169256,26249.0548454899
"7",7,161544.838432832,134113.208948985,87074.8324863248,183843.165748756
"8",8,59407.4363769019,48586.1834228405,31282.7009406251,114468.505000259
