"purpose","avgDist"
"work",4.09414447473265
"univ",3.30336787564767
"sch",4.27527173913044
"esco",4.52206845725516
"imain",5.11188777617179
"idisc",4.6052289204489
"jmain",3.61814121037464
"jdisc",4.10904017857143
"atwork",3.11053145336226
"total",4.76904741244662
