"","1","2","3","4","5","6","7","8","9","20"
"0",59853.3435637599,422.146008616671,8203.36454834916,18044.9583191123,23912.6949867129,39126.4783131318,10161.0057024068,2909.63247397884,19146.4794059137,2620.0364161462
"1",504704.296890433,17782.7533776157,220456.842788199,247537.249480575,246056.148769389,397432.140073086,178191.7560859,140373.439801569,409940.605353346,196973.445928089
"2",185494.216521061,3151.63264348963,27248.362110815,57398.8157729482,81324.6274163237,152772.887585043,28665.5008097401,29050.6776751517,79575.8716340825,16070.1290742262
"3",69715.0262136761,1461.66506369941,10205.0460625203,26189.1500802211,22129.9134632991,84567.7004441861,8622.11361782526,13556.8356869896,22224.6312385741,3625.09742907332
"4",42838.6249746167,1415.0234257042,8568.22145757866,16886.1520036169,17643.213254238,79584.7909124888,5816.53206770542,7800.11849348615,26642.6529596564,1849.33525451499
"5",85180.8402952597,3276.49393287049,13100.9422797337,42413.0505242759,68707.2034935748,81019.3529504455,22006.4100858399,30569.7327733144,50516.9685815164,12829.589262324
"7",26682.668024725,377.632973345278,1530.99286682475,5564.04454407422,12927.6530453416,13356.4350979495,2598.03441849825,1823.66175819772,6649.90861576789,514.17013421359
"8",15356.7566618635,248.690025363111,548.116532665472,5239.23911765327,5449.37550068694,20738.6540343353,1352.13088521223,1759.77061966465,5401.37981102006,505.209072275778
"9",22781.6725130931,3679.27429801989,2925.37634389051,18813.5765805552,25612.3208821806,38838.4316034408,6286.14013878123,10372.1999338371,17296.794222787,2793.55439407118
"10",7788.52106549001,93.5866597699207,1170.82536053835,2789.00146807548,8615.55272302157,13633.0991419999,2117.0210146138,1478.55715099436,7530.4494429228,301.888426841481
"11",5606.91010571481,401.016881036366,0,1639.92458097969,3282.11768322779,8702.17906064563,1408.93484599137,285.270708775288,2353.97584279173,278.266581478015
"12",8017.49169783978,1030.39418121544,375.925323478701,1233.70694605342,2990.93309985652,6294.05486054836,277.873665286133,431.290420531949,1064.49443247154,83.4800523066334
"13",11319.7386505709,651.238942857234,389.189304697889,15045.6791065851,18861.8009496733,80743.2097537241,10708.6432557262,21358.9498504751,30173.9555016302,555.667002671339
"14",6807.17937752331,407.053662757923,213.661261400945,4480.42255203338,8243.82678880979,8990.52713147316,1198.09058955491,2406.66573133618,4159.61288596309,393.718386438208
"15",1945.35681443845,67.506904210817,152.064380161014,1081.91271958325,1392.07599446544,3206.68195996999,238.377729545589,686.499817387194,1205.40145396614,249.541272419028
"16",2360.10870136224,17.4805427315261,0,1091.75635466375,985.28569274795,13008.247831337,213.274347997017,146.149961880293,962.510936012512,140.407043623127
