"Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
60136.2746105784,699.920887016829,54.2269488486129,2635.50901302069,0,60484.4587320979,305.300392232972,0,0,0,0,33129.1123784947,0,203.075884878305,2593.01452519835,0,129.12965498966,5729.23663495523,238.784183840184,166338.043846152
2712.17013800436,15549.7602024834,0,140.194607095149,0,27119.1390269115,0,0,686.506858338883,0,0,2761.97059892117,0,2486.11606498678,0,0,0,0,0,51455.8574967412
660.418772694775,0,8515.79470795156,92.6498497221249,0,3531.11751152135,695.696479185713,0,0,0,1395.03461974558,5925.06433097854,0,0,947.034863836676,0,0,1847.60965653503,0,23610.4207921713
100.268088517212,1054.83627392989,0,86932.33168735,3347.07393991905,67819.4114823702,0,0,0,687.112724757953,0,32384.7934797019,2961.67940050498,3534.95535794484,0,0,1143.61401871745,5582.31029693354,0,205548.386750647
553.204490422851,0,0,1751.50408934389,12767.2986803971,803.304059210744,0,0,0,49.7286783373982,0,418.319134201068,918.949582610533,0,0,0,0,67.1467895036344,0,17329.4555040272
13553.2292872505,12052.6911603495,0,21079.4559924198,0,468967.976221678,0,0,0,0,0,60701.0595407716,2032.40558208992,5812.10327346029,2014.23661087845,0,503.637073510213,3711.42865217349,5942.55498151454,596370.778376096
6084.55413469921,0,3348.8529444052,196.211668013129,0,1887.41384947445,11228.1231120607,0,0,0,0,2394.57615181448,0,0,107.82013203535,0,0,0,779.01890993843,26026.5709024409
0,56.09023628804,0,1204.57524999836,0,1057.25695625198,0,2838.11308576163,0,0,0,0,1148.76488089858,1659.68636271693,0,1433.12365049711,0,0,0,9397.61042241262
0,3320.06720926082,0,0,0,2273.88231325395,0,0,13629.4079556589,0,0,52.1581021808533,0,0,234.098033214868,622.072849964246,0,0,2652.62274650724,22784.3092100408
0,0,0,97.9142500451183,1899.55561593098,446.864157047073,0,0,0,9133.61053359937,0,997.225729056819,51.0144040250644,0,0,0,4130.68921650552,49.8843632808942,0,16806.7582694908
358.521391886021,0,1997.60883655801,0,0,117.349514188798,0,0,0,0,17287.801174079,1331.64372940919,0,0,0,0,1114.59752362643,3552.00480119983,0,25759.5269709473
11781.8436876956,50.7309214156415,198.782784921938,6492.1566834728,51.3246328665295,84985.5529540843,0,0,0,0,64.5920557202462,119917.415481757,0,68.7112724757952,56.4267549888204,0,99.2779964708291,9391.73262533628,0,233158.547851205
0,146.73182916053,0,3924.46220921704,0,1849.00411999802,0,106.859659802752,0,0,0,2637.12576150362,12688.4251027599,456.724442309535,0,0,979.009770907277,0,0,22788.3428956587
589.198688976081,2508.16614459732,0,9867.03328643779,313.106830030847,23526.4732267248,81.4732080903761,1061.42222126726,0,94.3240444269352,0,2043.44387447661,401.613109539381,24259.7400147635,0,0,0,311.644094780496,0,65057.6387441114
6349.55458279548,0,0,0,0,13639.9653413807,943.953205109184,0,0,0,0,1642.04734593059,0,194.49642956218,11923.347899597,0,0,0,7148.69452733588,41842.0593317109
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2468.75458700035,0,0,0,2468.75458700035
50.3162953720715,0,67.5442534386028,1060.26536870293,446.538819096292,9880.477357082,0,0,0,4764.84061935789,538.193246093168,8370.97612332168,0,0,0,0,19115.2837777692,14191.3001136851,0,58485.7359739189
2741.38575071386,53.8205062433124,597.82544763331,12299.5098520165,1004.6747066401,22057.8700573374,68.5647688796756,0,0,0,0,41888.7637810895,0,0,0,0,1341.08596013819,36760.384932898,0,118813.88576359
2130.82234975391,883.04287997694,0,0,0,36607.8949591698,0,0,844.567284178618,0,0,1378.57637534372,0,986.637860082304,3074.03669752131,0,0,409.901329974765,25402.6186276689,71718.0983636703
107801.76226936,36375.8582507222,14780.6359237572,147773.773806855,19829.5732248809,827055.411839783,13323.1111655586,4006.39496683164,15160.4820981764,14729.6166004795,19285.621095638,317974.271918953,20202.8520624284,39662.2469631805,20950.0155172708,4523.95108746171,28556.3249926348,81604.5842912563,42164.2939768052,1775760.78205203
