"comp","partysize","freq"
"All Adult",2,48.8915037869047
"All Children",2,50
"Mixed",2,28.3268785547592
"Total",2,36.3690920760461
"All Adult",3,1.10849621309535
"All Children",3,0
"Mixed",3,13.7918442602894
"Total",3,8.82432018925218
"All Adult",4,0
"All Children",4,0
"Mixed",4,6.48323414872691
"Total",4,3.95395733574398
"All Adult",5,0
"All Children",5,0
"Mixed",5,1.39317918330364
"Total",5,0.849664060476812
