"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",0,0,0,0,0,0,0,0,0,0
"2",9096.64394872709,114033.610969557,4586.52791594801,5432.89686042902,70.8636458460231,27.7296628766873,0,0,0,0
"3",3897.0812582691,1700.12041027642,50898.8416798374,4067.24539364448,0,0,0,11.7576861653664,0,205.518146146762
"4",242.914828815075,499.693521340818,1010.11765758829,26390.8888623374,71.0851665531185,18.5558604707688,0,169.536208370032,0,24.6238032576622
"5",351.839326145571,0,13.2469279070595,17.349849099968,3139.41822195576,0,0,0,0,0
"6",0,551.417220871643,249.764382454118,0,0,666.58282226923,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0
"9",24.2735375275938,0,17.1456571245383,0,0,0,0,0,108.879694838513,0
"10",0,0,0,0,0,0,0,0,0,43.3217762658884
"11",0,0,16.8021051056744,210.849325478307,0,0,0,0,0,0
