"distbin","PURPOSE","freq"
42,"idisc",8827.45807890762
5,"idisc",48418.5921037141
6,"idisc",34234.5879690808
7,"idisc",25434.3516153569
8,"idisc",22534.694073962
9,"idisc",15114.8340744676
1,"jmain",897.903035368345
10,"jmain",603.767656914596
11,"jmain",1170.3462975833
12,"jmain",1033.45341968688
13,"jmain",2595.56696940496
14,"jmain",0
15,"jmain",697.752456066116
16,"jmain",16.1823583517292
17,"jmain",104.266084968131
18,"jmain",0
19,"jmain",133.619824256837
2,"jmain",43046.0309598865
20,"jmain",268.616123284343
21,"jmain",52.6986911878189
22,"jmain",393.593254753853
23,"jmain",795.929230359268
24,"jmain",600.959487076933
25,"jmain",33.1171037104376
26,"jmain",496.213550376695
27,"jmain",0
28,"jmain",12.3772844901626
29,"jmain",0
3,"jmain",15135.214280345
30,"jmain",168.31445451072
31,"jmain",0
32,"jmain",12.4029238656475
33,"jmain",0
34,"jmain",0
35,"jmain",0
36,"jmain",0
37,"jmain",0
38,"jmain",193.129434180636
39,"jmain",0
4,"jmain",15157.035289737
40,"jmain",0
41,"jmain",1076.04830299274
42,"jmain",277.366933797366
5,"jmain",7782.61350404429
6,"jmain",6558.90015211537
7,"jmain",7350.41152824472
8,"jmain",1119.1788102986
9,"jmain",1088.06652106239
1,"jdisc",446.177096722939
10,"jdisc",699.00172638885
11,"jdisc",360.235336533477
12,"jdisc",207.545822039194
13,"jdisc",299.239391145785
14,"jdisc",189.707863115265
15,"jdisc",589.783607761318
16,"jdisc",521.749060503192
17,"jdisc",190.001399986635
18,"jdisc",186.102224962789
19,"jdisc",114.295515802625
2,"jdisc",16703.250929513
20,"jdisc",0
21,"jdisc",12.9590348987728
22,"jdisc",212.409503105393
23,"jdisc",84.6024955382955
24,"jdisc",0
25,"jdisc",0
26,"jdisc",0
27,"jdisc",0
28,"jdisc",0
29,"jdisc",199.788259082893
3,"jdisc",10997.4717477906
30,"jdisc",0
31,"jdisc",8.94628715912546
32,"jdisc",0
33,"jdisc",0
34,"jdisc",0
35,"jdisc",12.2696654275052
36,"jdisc",49.7485996546808
37,"jdisc",420.620410346132
38,"jdisc",0
39,"jdisc",0
4,"jdisc",3867.76663216486
40,"jdisc",16.5372318208633
41,"jdisc",141.505092607283
42,"jdisc",99.5942449724056
5,"jdisc",5055.10536305719
6,"jdisc",2120.70182841555
7,"jdisc",1634.13509714127
8,"jdisc",894.407891064595
9,"jdisc",727.971094010616
1,"atwork",712.771103084279
10,"atwork",845.737655879712
11,"atwork",712.916877732286
12,"atwork",170.806916028357
13,"atwork",327.800607573146
14,"atwork",607.855851216342
15,"atwork",191.943759758941
16,"atwork",59.3809683090389
17,"atwork",108.768096282154
18,"atwork",211.829684938686
19,"atwork",164.171915487311
2,"atwork",32069.8324149578
20,"atwork",111.622162605665
21,"atwork",261.269812053503
22,"atwork",242.735375275938
23,"atwork",297.811605832222
24,"atwork",155.532985470146
25,"atwork",233.078628252281
26,"atwork",75.4046821676996
27,"atwork",168.375639518211
28,"atwork",28.9487335620088
29,"atwork",99.109116125329
3,"atwork",7997.88307055107
30,"atwork",0
31,"atwork",284.059805763145
32,"atwork",242.735375275938
33,"atwork",0
34,"atwork",0
35,"atwork",0
36,"atwork",0
37,"atwork",0
38,"atwork",227.714751160549
39,"atwork",0
4,"atwork",8932.67765179804
40,"atwork",0
41,"atwork",0
42,"atwork",294.547261967802
5,"atwork",3271.0002222447
6,"atwork",1195.41843947516
7,"atwork",2641.56024970272
8,"atwork",1384.03006562057
9,"atwork",1466.78154138861
1,"Total",105228.829332986
10,"Total",82530.244424442
11,"Total",65372.7600910195
12,"Total",52132.2912669494
13,"Total",62227.5269149393
14,"Total",40774.4950389807
15,"Total",36405.3465860364
16,"Total",29228.8612551215
17,"Total",31811.1890777912
18,"Total",28345.576305888
19,"Total",26439.9080198587
2,"Total",1489776.28949966
20,"Total",22924.0843335605
21,"Total",18298.1979386065
22,"Total",15146.6204396151
23,"Total",17982.1799105186
24,"Total",11056.0828871614
25,"Total",16921.836019693
26,"Total",12964.8326677576
27,"Total",5711.32719358392
28,"Total",8289.64825722369
29,"Total",8858.49291616244
3,"Total",770052.007686503
30,"Total",7626.97972729562
31,"Total",8478.48972939222
32,"Total",5824.00899021473
33,"Total",4411.02525649567
34,"Total",7845.43638449392
35,"Total",3927.41352314225
36,"Total",3742.82965984346
37,"Total",4753.78795545151
38,"Total",3424.32459484383
39,"Total",2932.49435974353
4,"Total",511545.625984855
40,"Total",2351.90466872372
41,"Total",5498.07287206454
42,"Total",52128.1096236479
5,"Total",307045.842573842
6,"Total",216794.380795672
7,"Total",174824.664168854
8,"Total",127398.957544989
9,"Total",101124.894562989
