"","PERTYPE","freq"
"1",1,1645800.31204057
"2",2,253483.79291587
"3",3,132040.841291501
"4",4,182171.216618187
"5",5,545143.561671576
"6",6,123467.868869771
"7",7,566576.045616897
"8",8,253744.825740626
