"","HHSIZE","JOINT","freq"
"1",2,0,449496.0004806
"2",2,1,95276.6310944726
"3",3,0,166388.851862547
"4",3,1,55343.3626179117
"5",4,0,139347.573534661
"6",4,1,52936.2985647338
"7",5,0,87012.6083624643
"8",5,1,47442.7971640653
