"","PERTYPE","MTF","freq"
"1","1","1",413687.963888237
"2","2","1",68524.242071823
"3","3","1",14391.7502642707
"4","6","1",3381.15730781274
"5","7","1",0
"6","8","1",0
"7","Total","1",499985.113532144
"8","1","2",611131.700011515
"9","2","2",51639.7438466286
"10","3","2",13132.5554921821
"11","6","2",2914.68477054321
"12","7","2",0
"13","8","2",0
"14","Total","2",678818.684120869
"15","1","3",3633.48526760019
"16","2","3",0
"17","3","3",19603.3964832526
"18","6","3",27143.5571150262
"19","7","3",134776.105077491
"20","8","3",21117.5241889479
"21","Total","3",206274.068132318
"22","1","4",223.664461835732
"23","2","4",0
"24","3","4",10497.0109427199
"25","6","4",32437.8263547316
"26","7","4",157977.258676619
"27","8","4",37433.2491316412
"28","Total","4",238569.009567548
"29","1","5",3538.76271339329
"30","2","5",0
"31","3","5",6838.76083241419
"32","6","5",8335.83105308924
"33","7","5",0
"34","8","5",0
"35","Total","5",18713.3545988967
