"jointTours","hhsize","freq"
"0","2",82.5107530055238
"1","2",12.5040118121948
"2","2",4.98523518228143
"0","3",75.0404501449702
"1","3",15.953530677751
"2","3",9.00601917727881
"0","4",72.4697147052613
"1","4",16.0396834209145
"2","4",11.4906018738241
"0","5",64.7148458046156
"1","5",18.573468615417
"2","5",16.7116855799674
"0","Total",77.0408928798122
"1","Total",14.5719793513555
"2","Total",8.38712776883227
