"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",81800.2688392077,527.274848837921,2948.19683652918,89134.6073289826,35773.0209499104,0,0,16117.0744855248
"2",37026.7778286327,196.528502760609,12918.5880428697,80731.7148985721,17800.2775218889,54072.8364570709,18283.7578281683,5759.74495665839
"3",35767.5734866634,1056.91431550246,46865.0592235008,141879.45510223,64866.8130951027,31884.7173768063,20110.8753756186,3507.01038218093
"4",3429.10074232805,53.8563881463017,2904.68062878089,11737.2420847508,20524.0745401108,8417.21329609082,14736.1178293701,9210.57873772811
"5",2347.20882896486,107.712776292603,536.106693904137,1307.84960702593,1659.18837423399,835.127791922897,52.0495472999039,13.1104070486445
"6",5537.37134240734,666.240435882385,4647.49875510223,7565.34153874785,3517.06547185816,0,0,150.37170382989
"7",3425.44285720576,0,0,1731.57651255944,38.2069565122705,0,0,0
"8",268.041750015979,0,0,224.57710724186,338.049531451458,0,0,0
"9",549.295193630527,0,0,1473.96626601631,93.4644389825133,0,0,0
"10",0,291.590129148569,42791.5380009272,4501.91590258482,1396.53080938221,49.0786617100209,202.714863750679,12.4857461576811
"11",12.3622943783688,0,0,927.405173530175,470.045281690999,0,0,1181.00929263186
