"","esco","imain","idisc","jmain","jdisc","atwork"
"1",68057.7937530951,184710.262694021,161210.839289852,30660.9844127376,51178.3045309003,80053.7916688942
"2",90282.4414056117,143252.037434189,118727.161404841,27426.4140540619,30905.6221878975,33276.109250443
"3",70231.058589512,107450.290365865,109457.354289101,21625.5281925301,25230.8684622476,30534.4601076567
"4",67542.5508749932,102169.62611484,70703.5687922983,15482.6098683706,18326.7706087005,21531.2959922767
"5",41474.7948540268,88787.6293840686,65344.8577763685,15480.9735412096,22939.2186142825,17419.012626445
"6",39516.2873099087,60563.0491306042,47065.6272413506,11375.892205939,10080.8317709785,12321.4607714437
"7",27320.6188296091,53775.2218584041,32182.2549557147,7301.90767690335,10023.6829965227,5134.52072268477
"8",34026.0744996969,49169.3807197595,28759.3278669304,8146.13416109883,15825.9988660225,6589.01588244482
"9",17790.3770165953,39137.0191158211,23545.0140327896,6376.39980451598,6562.61747222934,4802.6593511127
"10",22588.108415006,36287.7661747516,26906.6123723948,1300.60136036231,4812.28395950077,2255.76010536525
"11",9529.10609326889,39453.04842938,19407.7766485207,2378.96997549483,2559.66372638046,1716.02646030238
"12",8912.04082867654,35032.4838804489,18714.8580383031,2075.4326113209,2187.23777443719,911.083153697621
"13",7444.15976208648,27797.2987770834,12683.0914309742,6519.69716280285,4899.34333018072,4044.573198511
"14",10909.6379193226,24925.1966782876,14135.1085783405,2895.65651490415,3631.04933131184,5565.06991832011
"15",6095.0526598733,23842.6491728028,6945.74332795244,1061.35321547319,612.592958384191,738.065328263812
"16",7413.65180169888,24202.9503146064,16118.2863480269,1160.88512704811,3029.04992225917,683.273789138862
"17",1709.71671844245,19661.22813154,9669.04248678316,851.848106904859,1602.79324411943,331.024485235934
"18",4648.97083626672,14744.819701686,6760.26970399444,306.519528586486,277.974814539766,1602.08311133863
"19",5221.22776644303,17866.8346766199,6653.50208610422,392.628266777615,504.492883835202,689.959633410838
"20",2039.81131090993,18324.7442170673,7859.75405789279,1504.50300095607,2394.70531942243,303.387777221042
"21",4094.81308103266,16737.0139236347,4291.28513125803,4190.79408595938,1213.82932733434,264.597777709961
"22",2348.04818581456,10672.4057495281,5340.10619834908,593.923375023455,734.701557766162,1027.11894435339
"23",818.982678090555,11406.1514715099,3614.54501911069,317.776585771626,170.193773602571,313.56573857639
"24",1303.78171428408,12440.3095086148,2764.87284679585,1093.26267853964,918.821455654479,87.4710970558431
"25",1620.43612156407,5850.86451537387,2983.13740317904,505.444214336368,111.335162824613,107.450826070141
"26",2372.92787949405,9004.51662290888,1751.31032775181,1082.99609720215,0,152.273391307372
"27",1166.16931820257,12113.8447891255,5056.40481283599,0,50.0378804757031,190.793519682986
"28",308.368672232473,4610.26885306389,1278.9238713145,239.782421084554,0,176.468690260952
"29",1474.75541187143,7203.78284776751,3803.59627853898,0,3726.92864634357,414.439947015878
"30",116.238999674764,6082.79281066128,1904.34671136019,921.333345978161,197.52804505174,35.4529098333497
"31",1977.5368526885,6017.3901396589,1904.6347132847,1420.38633834492,986.967289565294,112.757549142979
"32",26.8015217195765,2473.2952188781,1170.54820665604,0,0,0
"33",534.143078365584,2706.65308164902,989.839722778253,953.781978310491,0,0
"34",234.375427005736,4657.32785499575,1551.68720561243,36.960494861619,49.6116954625898,0
"35",120.270699966533,3171.71431535099,1062.82001004803,53.0139235559708,0,127.658492422996
"36",51.0735401775972,3929.86795855437,545.125434345675,0,0,0
"37",391.276340167922,2166.12802251971,1039.30618387443,950.336250083511,0,28.5529319989084
"38",18.254663751485,1372.90794768821,981.637567735412,136.713729346422,329.914485822782,17.0048013416881
"39",293.068076755779,1604.29268023238,1017.72405976255,0,199.833515018101,0
"40",867.351633756257,2412.18947663702,346.685462448089,118.174756302492,0,13.5063145007977
"41",3856.43692273719,28237.6080958797,10635.3958844184,140.488257680259,155.100196789908,1082.67089647206
