"","PERTYPE","DAP","freq"
"1",1,"H",58922.0499334946
"2",1,"M",1032215.57634258
"3",1,"N",554662.685764489
"4",2,"H",14573.4644204096
"5",2,"M",120163.985918452
"6",2,"N",118746.342577009
"7",3,"H",9855.48770603673
"8",3,"M",64463.4740148396
"9",3,"N",57721.8795706246
"10",4,"H",40980.8438835934
"11",4,"N",141190.372734594
"12",5,"H",111616.08158521
"13",5,"N",433527.480086366
"14",6,"H",14261.6017982651
"15",6,"M",74213.056601203
"16",6,"N",34993.2104703033
"17",7,"H",55253.3879858353
"18",7,"M",292753.36375411
"19",7,"N",218569.293876952
"20",8,"H",42723.8508485349
"21",8,"M",58550.7733205892
"22",8,"N",152470.201571502
"23",NA,"H",0
