"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",33969.4967481877,168.91331537259,4629.59265574046,82.2685157457234,97.0941501103752,32.3647167034584,160.310110483842,0,0,0
"2",1766.96273897151,7934.06719102032,739.199653322014,36.4103062913907,16.1823583517292,1406.98788412494,40.0734796310403,0,0,0
"3",419.210626726486,981.141902351024,1854.0626827223,0,0,16.1823583517292,85.8486106955425,0,0,0
"4",11819.9137421093,2100.00842080769,0,3875.27472067515,953.685568010912,2470.98463777436,22.9037574919318,0,8.58890905947441,0
"5",0,0,0,0,2421.74887263575,452.825243855766,0,0,0,0
"6",0,0,0,15.2860698181109,68.7112724757953,10088.000320064,11.4518787459659,380.691391522696,0,0
"7",0,0,0,0,0,0,28.6216008850744,0,0,0
"8",0,0,0,0,0,888.966128185848,0,157.55448600063,0,0
"9",0,0,0,0,0,11.4518787459659,0,0,8.58890905947441,0
"10",0,0,0,0,0,0,0,0,0,583.180258297138
"11",0,0,0,0,0,0,0,0,0,0
