"District","Workers","WFH"
"Anoka",12769,493
"Carver",3715,174
"Chisago",1895,85
"Dakota",15470,580
"Goodhue",1538,83
"Hennepin",43627,1429
"Isanti",1337,90
"Le Sueur",1031,70
"McLeod",1282,59
"Pierce",1470,74
"Polk",1577,107
"Ramsey",17694,579
"Rice",1980,97
"Scott",5159,214
"Sherburne",3385,169
"Sibley",500,36
"St. Croix",3268,167
"Washington",8989,332
"Wright",4910,227
"Total",131596,5065
