"purpose","avgTourLength"
"esco",7.04635478466382
"imain",7.80870699394965
"idisc",8.42776752571853
"jmain",8.58831801602573
"jdisc",8.66103287549158
"atwork",6.33574223785659
"Total",7.86688718553122
