"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",57142,6040,2289,0,0,0,0,0,0,0
"2",0,28172,6985,0,0,55,0,1072,0,0
"3",0,0,23412,0,0,18,0,2043,0,0
"4",2214,2240,2576,7218,746,191,0,1603,0,0
"5",0,0,0,0,5373,0,0,0,0,0
"6",0,0,0,0,0,230,0,0,0,0
"7",0,0,0,0,0,0,125,0,0,0
"8",123,52,54,71,14,0,559,23,0,0
"9",0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0
