"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",55730,3760,11250,17666,23890,31047,8340,13100,14806
"2",23164,3055,11119,4720,14924,11680,4160,3527,3565
"3",10072,1279,5182,1947,8439,5789,1357,965,1006
"4",5733,995,2508,1689,6212,4240,564,519,579
"5",1504,299,405,332,1787,983,182,88,116
"6",557,77,92,122,642,236,63,31,32
"7",103,56,20,58,354,200,13,2,36
