"distbin","PURPOSE","freq"
3,"atwork",19838
30,"atwork",37
31,"atwork",29
32,"atwork",21
33,"atwork",18
34,"atwork",24
35,"atwork",7
36,"atwork",14
37,"atwork",5
38,"atwork",3
39,"atwork",4
4,"atwork",12514
40,"atwork",2
41,"atwork",3
42,"atwork",14
5,"atwork",8040
6,"atwork",6268
7,"atwork",4785
8,"atwork",3647
9,"atwork",2902
1,"Total",124018
10,"Total",86615
11,"Total",73097
12,"Total",61344
13,"Total",50741
14,"Total",42788
15,"Total",35675
16,"Total",29855
17,"Total",25389
18,"Total",21562
19,"Total",17780
2,"Total",971307
20,"Total",15097
21,"Total",12804
22,"Total",10652
23,"Total",8946
24,"Total",7424
25,"Total",6253
26,"Total",5188
27,"Total",4244
28,"Total",3514
29,"Total",2981
3,"Total",607149
30,"Total",2530
31,"Total",2208
32,"Total",1787
33,"Total",1542
34,"Total",1296
35,"Total",1062
36,"Total",924
37,"Total",781
38,"Total",612
39,"Total",571
4,"Total",403945
40,"Total",452
41,"Total",411
42,"Total",3170
5,"Total",259375
6,"Total",200726
7,"Total",161948
8,"Total",126041
9,"Total",105106
