"District","Work","Univ","Schl"
"Anoka",16.1282963687398,12.8930225080386,9.92143887994957
"Carver",17.6665508531765,22.8812537018756,15.254572720657
"Chisago",25.881730601252,19.1719062748213,12.4750380032868
"Dakota",13.9054215330704,17.7455466842006,11.5409874118626
"Goodhue",20.245733948804,10.8369621621622,8.86715409413282
"Hennepin",10.3094897941227,7.8952546356188,7.42601678259909
"Isanti",25.9421460545492,16.0730777310924,12.2779994107248
"Le Sueur",26.253823790957,9.17897033158813,7.37013286999182
"McLeod",18.1030100228032,10.9903382352941,7.94312297734628
"Pierce",23.3664547149446,10.9906320541761,8.93736263736264
"Polk",26.2001145527859,10.7782589285714,9.75438484461473
"Ramsey",10.0058515853295,7.79458489995246,5.55909472851741
"Rice",19.1151610589463,16.1141525423729,12.4684616118264
"Scott",17.3988399021176,29.0365938182954,18.3186355636964
"Sherburne",25.2874432308437,7.30923838209983,6.50281456759763
"Sibley",25.8551479212824,10.1442570281125,9.16804496186271
"St. Croix",21.7422645720477,16.1864175563464,12.05823437703
"Washington",16.1340847341635,22.1630760284925,13.7821239211531
"Wright",22.7355924705193,10.4262281095644,7.88468983449585
"Total",14.4898388978269,11.4342304759457,9.55113543459198
