"OCOUNTY","DCOUNTY","access_mode","count"
"Hennepin","Carver","Total",22
"Washington","Washington","Total",2
"Hennepin","Washington","Total",56
"Anoka","Wright","Total",6
"Hennepin","Sherburne","Total",26
"Sherburne","Sherburne","Total",6
"Hennepin","Wright","Total",16
"Dakota","Scott","Total",10
"Sherburne","Wright","Total",2
"Ramsey","Sherburne","Total",6
"Ramsey","Carver","Total",4
"Dakota","Wright","Total",2
"Ramsey","Wright","Total",2
"Anoka","Sherburne","Total",2
"Ramsey","Scott","Total",2
"Dakota","Carver","Total",2
