coefficient_name,value,constrain
coef_schoolbus_ASC_sr3p_escort,0.0,F
coef_schoolbus_ASC_sr3p_othdiscr,0.0,F
coef_schoolbus_ASC_sr3p_othmaint,0.0,F
coef_schoolbus_ASC_sr3p_school,-51.045457584089256,F
coef_schoolbus_ASC_sr3p_shopping,0.0,F
coef_schoolbus_ASC_sr3p_social,0.0,F
coef_schoolbus_ASC_sr3p_univ,0.0,F
coef_schoolbus_ASC_sr3p_work,0.0,F
coef_schoolbus_ASC_walk_atwork,0.0,F
coef_schoolbus_ASC_walk_eatout,0.0,F
coef_schoolbus_ASC_walk_escort,0.0,F
coef_schoolbus_ASC_walk_othdiscr,0.0,F
coef_schoolbus_ASC_walk_othmaint,0.0,F
coef_schoolbus_ASC_walk_school,-48.97553667,F
coef_schoolbus_ASC_walk_shopping,0.0,F
coef_schoolbus_ASC_walk_social,0.0,F
coef_schoolbus_ASC_walk_univ,0.0,F
coef_schoolbus_ASC_walk_work,0.0,F
coef_sov_ASC_sr2_atwork,-12.0,F
coef_sov_ASC_sr2_eatout,-12.0,F
coef_sov_ASC_sr2_escort,-10.0,F
coef_sov_ASC_sr2_othdiscr,-12.0,F
coef_sov_ASC_sr2_othmaint,-10.0,F
coef_sov_ASC_sr2_school,-8.0,F
coef_sov_ASC_sr2_shopping,-10.0,F
coef_sov_ASC_sr2_social,-12.0,F
coef_sov_ASC_sr2_univ,-10.0,F
coef_sov_ASC_sr2_work,-12.0,F
coef_sov_ASC_sr3p_atwork,-11.0,F
coef_sov_ASC_sr3p_eatout,-11.0,F
coef_sov_ASC_sr3p_escort,-11.0,F
coef_sov_ASC_sr3p_othdiscr,-11.0,F
coef_sov_ASC_sr3p_othmaint,-11.0,F
coef_sov_ASC_sr3p_school,-7.0,F
coef_sov_ASC_sr3p_shopping,-11.0,F
coef_sov_ASC_sr3p_social,-11.0,F
coef_sov_ASC_sr3p_univ,-7.0,F
coef_sov_ASC_sr3p_work,-11.0,F
coef_sov_ASC_walk_atwork,43.48566485,F
coef_sov_ASC_walk_eatout,46.70085753,F
coef_sov_ASC_walk_escort,47.10762537,F
coef_sov_ASC_walk_othdiscr,46.49085753,F
coef_sov_ASC_walk_othmaint,45.80762537,F
coef_sov_ASC_walk_school,-13.0,F
coef_sov_ASC_walk_shopping,45.63762537,F
coef_sov_ASC_walk_social,46.24085753,F
coef_sov_ASC_walk_univ,49.20958315,F
coef_sov_ASC_walk_work,45.18668728,F
coef_sov_ASC_taxi_atwork,-999.0,F
coef_sov_ASC_taxi_eatout,-999.0,F
coef_sov_ASC_taxi_escort,-999.0,F
coef_sov_ASC_taxi_othdiscr,-999.0,F
coef_sov_ASC_taxi_othmaint,-999.0,F
coef_sov_ASC_taxi_school,-999.0,F
coef_sov_ASC_taxi_shopping,-999.0,F
coef_sov_ASC_taxi_social,-999.0,F
coef_sov_ASC_taxi_univ,-999.0,F
coef_sov_ASC_taxi_work,-999.0,F
coef_sov_ASC_tnc_single_atwork,-11.0,F
coef_sov_ASC_tnc_single_eatout,-8.391134061,F
coef_sov_ASC_tnc_single_escort,-6.825199036054326,F
coef_sov_ASC_tnc_single_othdiscr,-8.391134061,F
coef_sov_ASC_tnc_single_othmaint,-6.825199036054326,F
coef_sov_ASC_tnc_single_school,-11.65,F
coef_sov_ASC_tnc_single_shopping,-6.825199036054326,F
coef_sov_ASC_tnc_single_social,-8.391134061,F
coef_sov_ASC_tnc_single_univ,-8.65,F
coef_sov_ASC_tnc_single_work,-13.06912642,F
coef_sov_ASC_tnc_shared_atwork,-999.0,F
coef_sov_ASC_tnc_shared_eatout,-999.0,F
coef_sov_ASC_tnc_shared_escort,-999.0,F
coef_sov_ASC_tnc_shared_othdiscr,-999.0,F
coef_sov_ASC_tnc_shared_othmaint,-999.0,F
coef_sov_ASC_tnc_shared_school,-999.0,F
coef_sov_ASC_tnc_shared_shopping,-999.0,F
coef_sov_ASC_tnc_shared_social,-999.0,F
coef_sov_ASC_tnc_shared_univ,-999.0,F
coef_sov_ASC_tnc_shared_work,-999.0,F
coef_sr2_ASC_sov_atwork,-1.3128096309428134,F
coef_sr2_ASC_sov_eatout,-1.099901545335387,F
coef_sr2_ASC_sov_escort,-0.5127188696660635,F
coef_sr2_ASC_sov_othdiscr,-1.099901545335387,F
coef_sr2_ASC_sov_othmaint,-0.5127188696660635,F
coef_sr2_ASC_sov_school,4.014940658635995,F
coef_sr2_ASC_sov_shopping,-0.5127188696660635,F
coef_sr2_ASC_sov_social,-1.099901545335387,F
coef_sr2_ASC_sov_univ,-2.575146935474701,F
coef_sr2_ASC_sov_work,-0.1960794099526701,F
coef_sr2_ASC_walk_atwork,-12.02495712,F
coef_sr2_ASC_walk_eatout,-2.8082567684451827,F
coef_sr2_ASC_walk_escort,-5.215479423971737,F
coef_sr2_ASC_walk_othdiscr,-2.7582567684451824,F
coef_sr2_ASC_walk_othmaint,-3.755479423971737,F
coef_sr2_ASC_walk_school,-12.63365975,F
coef_sr2_ASC_walk_shopping,-3.275479423971737,F
coef_sr2_ASC_walk_social,-3.5282567684451824,F
coef_sr2_ASC_walk_univ,-4.18554940262008,F
coef_sr2_ASC_walk_work,-3.315118064763886,F
coef_sr2_ASC_taxi_atwork,-999.0,F
coef_sr2_ASC_taxi_eatout,-999.0,F
coef_sr2_ASC_taxi_escort,-999.0,F
coef_sr2_ASC_taxi_othdiscr,-999.0,F
coef_sr2_ASC_taxi_othmaint,-999.0,F
coef_sr2_ASC_taxi_school,-999.0,F
coef_sr2_ASC_taxi_shopping,-999.0,F
coef_sr2_ASC_taxi_social,-999.0,F
coef_sr2_ASC_taxi_univ,-999.0,F
coef_sr2_ASC_taxi_work,-999.0,F
coef_sr2_ASC_tnc_single_atwork,-12.0,F
coef_sr2_ASC_tnc_single_eatout,-12.99994363,F
coef_sr2_ASC_tnc_single_escort,-7.560548041,F
coef_sr2_ASC_tnc_single_othdiscr,-12.99994363,F
coef_sr2_ASC_tnc_single_othmaint,-7.560548041,F
coef_sr2_ASC_tnc_single_school,-10.0,F
coef_sr2_ASC_tnc_single_shopping,-7.560548041,F
coef_sr2_ASC_tnc_single_social,-12.99994363,F
coef_sr2_ASC_tnc_single_univ,-8.0,F
coef_sr2_ASC_tnc_single_work,-2.190553407663194,F
coef_sr2_ASC_tnc_shared_atwork,-999.0,F
coef_sr2_ASC_tnc_shared_eatout,-999.0,F
coef_sr2_ASC_tnc_shared_escort,-999.0,F
coef_sr2_ASC_tnc_shared_othdiscr,-999.0,F
coef_sr2_ASC_tnc_shared_othmaint,-999.0,F
coef_sr2_ASC_tnc_shared_school,-999.0,F
coef_sr2_ASC_tnc_shared_shopping,-999.0,F
coef_sr2_ASC_tnc_shared_social,-999.0,F
coef_sr2_ASC_tnc_shared_univ,-999.0,F
coef_sr2_ASC_tnc_shared_work,-999.0,F
coef_sr3p_ASC_sov_atwork,-1.4358542076498813,F
coef_sr3p_ASC_sov_eatout,-1.727733869101045,F
coef_sr3p_ASC_sov_escort,-1.2327922759210097,F
coef_sr3p_ASC_sov_othdiscr,-1.727733869101045,F
coef_sr3p_ASC_sov_othmaint,-1.2327922759210097,F
coef_sr3p_ASC_sov_school,-9.914236143,F
coef_sr3p_ASC_sov_shopping,-1.2327922759210097,F
coef_sr3p_ASC_sov_social,-1.727733869101045,F
coef_sr3p_ASC_sov_univ,-5.42324083,F
coef_sr3p_ASC_sov_work,-0.080337369594624,F
coef_sr3p_ASC_sr2_atwork,-1.7439917256260182,F
coef_sr3p_ASC_sr2_eatout,-1.0483302235148362,F
coef_sr3p_ASC_sr2_escort,-0.967640356450871,F
coef_sr3p_ASC_sr2_othdiscr,-1.338330223514836,F
coef_sr3p_ASC_sr2_othmaint,-0.987640356450871,F
coef_sr3p_ASC_sr2_school,-0.8191513528788691,F
coef_sr3p_ASC_sr2_shopping,-0.7776403564508709,F
coef_sr3p_ASC_sr2_social,-0.8883302235148356,F
coef_sr3p_ASC_sr2_univ,-4.743407476,F
coef_sr3p_ASC_sr2_work,-0.8154593143021818,F
coef_sr3p_ASC_walk_atwork,-9.029511102,F
coef_sr3p_ASC_walk_eatout,-3.3630628308499264,F
coef_sr3p_ASC_walk_escort,-4.045839929327743,F
coef_sr3p_ASC_walk_othdiscr,-3.8430628308499264,F
coef_sr3p_ASC_walk_othmaint,-2.995839929327741,F
coef_sr3p_ASC_walk_school,-3.50576775010013,F
coef_sr3p_ASC_walk_shopping,-3.5458399293277414,F
coef_sr3p_ASC_walk_social,-3.6330628308499264,F
coef_sr3p_ASC_walk_univ,-5.638835771,F
coef_sr3p_ASC_walk_work,-6.994524268037614,F
coef_sr3p_ASC_taxi_atwork,-999.0,F
coef_sr3p_ASC_taxi_eatout,-999.0,F
coef_sr3p_ASC_taxi_escort,-999.0,F
coef_sr3p_ASC_taxi_othdiscr,-999.0,F
coef_sr3p_ASC_taxi_othmaint,-999.0,F
coef_sr3p_ASC_taxi_school,-999.0,F
coef_sr3p_ASC_taxi_shopping,-999.0,F
coef_sr3p_ASC_taxi_social,-999.0,F
coef_sr3p_ASC_taxi_univ,-999.0,F
coef_sr3p_ASC_taxi_work,-999.0,F
coef_sr3p_ASC_tnc_single_atwork,-10.0,F
coef_sr3p_ASC_tnc_single_eatout,-12.99610919,F
coef_sr3p_ASC_tnc_single_escort,-6.639335793099528,F
coef_sr3p_ASC_tnc_single_othdiscr,-12.99610919,F
coef_sr3p_ASC_tnc_single_othmaint,-6.639335793099528,F
coef_sr3p_ASC_tnc_single_school,-15.82344417,F
coef_sr3p_ASC_tnc_single_shopping,-6.639335793099528,F
coef_sr3p_ASC_tnc_single_social,-12.99610919,F
coef_sr3p_ASC_tnc_single_univ,-8.0,F
coef_sr3p_ASC_tnc_single_work,-9.917196044,F
coef_sr3p_ASC_tnc_shared_atwork,-999.0,F
coef_sr3p_ASC_tnc_shared_eatout,-999.0,F
coef_sr3p_ASC_tnc_shared_escort,-999.0,F
coef_sr3p_ASC_tnc_shared_othdiscr,-999.0,F
coef_sr3p_ASC_tnc_shared_othmaint,-999.0,F
coef_sr3p_ASC_tnc_shared_school,-999.0,F
coef_sr3p_ASC_tnc_shared_shopping,-999.0,F
coef_sr3p_ASC_tnc_shared_social,-999.0,F
coef_sr3p_ASC_tnc_shared_univ,-999.0,F
coef_sr3p_ASC_tnc_shared_work,-999.0,F
coef_walk_transit_ASC_sr2_atwork,-9.525348317,F
coef_walk_transit_ASC_sr2_eatout,-10.73104789,F
coef_walk_transit_ASC_sr2_escort,-11.47570818,F
coef_walk_transit_ASC_sr2_othdiscr,-10.73104789,F
coef_walk_transit_ASC_sr2_othmaint,-11.47570818,F
coef_walk_transit_ASC_sr2_school,-8.744001985,F
coef_walk_transit_ASC_sr2_shopping,-11.47570818,F
coef_walk_transit_ASC_sr2_social,-10.73104789,F
coef_walk_transit_ASC_sr2_univ,-12.6033434,F
coef_walk_transit_ASC_sr2_work,-13.40837863,F
coef_walk_transit_ASC_sr3p_atwork,-12.45697911,F
coef_walk_transit_ASC_sr3p_eatout,-10.99678101,F
coef_walk_transit_ASC_sr3p_escort,-11.77781478,F
coef_walk_transit_ASC_sr3p_othdiscr,-10.99678101,F
coef_walk_transit_ASC_sr3p_othmaint,-11.77781478,F
coef_walk_transit_ASC_sr3p_school,-8.551031123,F
coef_walk_transit_ASC_sr3p_shopping,-11.77781478,F
coef_walk_transit_ASC_sr3p_social,-10.99678101,F
coef_walk_transit_ASC_sr3p_univ,-13.35943577,F
coef_walk_transit_ASC_sr3p_work,-13.9227707,F
coef_walk_transit_ASC_walk_atwork,-12.96351838,F
coef_walk_transit_ASC_walk_eatout,-1.8373606177672905,F
coef_walk_transit_ASC_walk_escort,-1.4848770535552958,F
coef_walk_transit_ASC_walk_othdiscr,-1.8373606177672905,F
coef_walk_transit_ASC_walk_othmaint,-1.4848770535552958,F
coef_walk_transit_ASC_walk_school,-43.67713409,F
coef_walk_transit_ASC_walk_shopping,-1.4848770535552958,F
coef_walk_transit_ASC_walk_social,-1.8373606177672905,F
coef_walk_transit_ASC_walk_univ,-5.109780539408,F
coef_walk_transit_ASC_walk_work,-1.9439661541642048,F
coef_walk_transit_ASC_bike_atwork,-12.22836546,F
coef_walk_transit_ASC_bike_eatout,-9.369703565,F
coef_walk_transit_ASC_bike_escort,-10.38774207,F
coef_walk_transit_ASC_bike_othdiscr,-9.369703565,F
coef_walk_transit_ASC_bike_othmaint,-10.38774207,F
coef_walk_transit_ASC_bike_school,-14.86306155,F
coef_walk_transit_ASC_bike_shopping,-10.38774207,F
coef_walk_transit_ASC_bike_social,-9.369703565,F
coef_walk_transit_ASC_bike_univ,-10.73020216,F
coef_walk_transit_ASC_bike_work,-9.792106375,F
coef_walk_transit_ASC_taxi_atwork,-999.0,F
coef_walk_transit_ASC_taxi_eatout,-999.0,F
coef_walk_transit_ASC_taxi_escort,-999.0,F
coef_walk_transit_ASC_taxi_othdiscr,-999.0,F
coef_walk_transit_ASC_taxi_othmaint,-999.0,F
coef_walk_transit_ASC_taxi_school,-999.0,F
coef_walk_transit_ASC_taxi_shopping,-999.0,F
coef_walk_transit_ASC_taxi_social,-999.0,F
