"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",921831.777997932,21441.9081154869,282013.113794808,343352.937320954,469495.422386572,515733.263650048,119866.074060292,180519.959863056,612401.71891016
"2",177611.365239913,3934.56443357766,22933.3319509231,57946.8748309619,122549.211613738,84817.3950969538,23278.2272944523,28233.3142072352,15960.1007310556
"3",41974.1165603642,3502.15434301444,4606.00250047384,16945.1002387537,44253.9137225056,34701.8034427767,6881.09374556238,3675.97795216357,2158.54041199703
"4",21284.5238837694,979.287818890475,724.68010494765,18369.3652846279,60314.0614907041,42183.1501863518,4308.89436355655,1279.42485124396,416.366278233539
