"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",2256.34231190465,0,0,3703.64884665357,428.055741054825,0,0,782.160831682023
"2",967.940658322352,0,0,2647.72408514165,2082.43257226039,598.240023523814,0,179.096823003096
"3",223.924202027623,0,12.1693365360418,2105.3258105364,456.594130431405,0,1063.50161025654,253.895229115464
"4",2958.05573279503,24.2735375275938,485.347208608352,10750.4231641924,6222.78450329639,219.650905722368,104.490882028423,2951.18614583434
"5",142.385912699572,614.855658044484,0,2259.06148942952,1233.30798922979,0,69.0874639913832,459.35802052024
"6",10838.1611597587,1133.21452720489,3386.04368435147,16412.4169450848,7407.52537021545,592.570335680423,0,2974.52482723213
"7",112.056382479741,0,0,226.893733090652,1063.96759677505,0,0,0
"8",233.760088877784,17.1778181189488,0,1994.32015956072,510.52145064931,0,202.847351389927,395.859421457176
"9",0,0,5350.38405931892,82.2465173025576,0,0,0,0
"10",0,0,0,0,0,0,0,0
"11",0,0,0,1103.46773708302,303.175132002512,0,0,0
