"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",679890.19858997,10916.4288841742,7468.42461115506,405076.343871047,251890.352289174,0,0,339356.31900528
"2",155819.046248314,4954.81499896149,27415.5412955385,243360.362647239,115744.257200585,128687.560203213,94672.470368049,48756.5533534299
"3",67397.0816960869,125.812652680006,66742.9012840812,172664.676166048,93820.7421953223,46041.7892340969,46906.6049480788,15083.5875863606
"4",6663.58910487423,403.387265996998,3728.88258690565,28366.1004385441,104633.963901833,7713.87525691727,30160.4106866893,81917.6528544336
"5",7332.62763776481,150.763378122456,135.050296220553,4682.56119808663,9844.1276907923,2579.48057846571,3007.20537228849,1189.64552578791
"6",25041.6466245563,3673.77646635849,4675.321907464,11737.1694745835,5857.05191802448,0,897.706338706663,20807.3440841135
"7",15990.4179552947,554.231498152252,0,3899.99589442337,3133.20183848784,0,34.3556362378976,152.365512223186
"8",1251.35045069883,0,859.520553579831,1629.1193969186,3317.08854498637,0,484.065854409241,128.439744539432
"9",195.939610210484,0,61175.1450399778,7084.10413928878,1379.63285752679,2794.30288985871,86.643552531777,801.138498456623
"10",0,0,0,0,0,0,0,0
"11",1224.10157056352,0,24.4338646760826,2659.41406681426,2157.38613583054,0,49.752034126993,15234.6354611321
