"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",554.421313694126,0,0,1269.69510042338,455.851231988861,0,0,0,244.752442726819
"2",58.9639784190551,0,0,397.871031781887,56.5066203442972,25.0897944219863,0,0,692.245103467625
"3",467.763448216345,0,0,0,674.281579943392,28.6133803779793,0,0,359.42212855017
"4",300.333657069751,0,0,523.584817396934,941.592739019913,270.256747824377,0,0,2081.66548435801
"5",284.097728962829,0,0,777.284794433271,437.520663842329,1123.0580724022,0,0,1033.44464446756
"6",724.384561407102,0,0,2561.96908462318,3105.7962538447,2687.5511183318,0,75.8026813889122,1649.3017670097
"7",1232.81434571111,0,0,726.419928567502,1273.95571584739,7673.58521906482,0,221.544184346116,11401.6673930751
"8",1981.17671090507,0,969.098107926993,6694.08179425593,3505.98691358137,6159.14992984795,942.978392818542,2490.50797910179,4958.9042307716
"9",2146.56484395372,0,1057.85255191978,12469.8680859965,3498.66892647124,10125.0159280553,106.281418364554,1568.76474027195,16613.7704012156
"10",1781.30078640515,0,629.127084697632,13363.1777099829,2613.25485272,3713.67824905009,917.989298476737,983.314379405612,11778.1112414517
"11",3406.60764911414,0,2782.47855175416,12006.6358757962,5385.1388304308,5367.62278513264,825.650760906179,3694.49622775812,19144.0876246449
"12",2311.30605812708,0,3291.39457047256,11944.7214879157,11731.953723737,7552.03768820055,797.216127571368,729.387672237514,17903.4627738677
"13",4368.07080285042,12.1367687637969,347.397378946551,11487.8858730213,13683.0656777304,9253.21065055223,1402.90130455504,1167.53368533203,24083.4357495635
"14",3370.06443274175,0,391.440572804416,9620.1763625828,19278.5332686499,16996.7435308217,5844.44104409417,2091.1634376039,23102.2043112871
"15",5452.95230122,52.286861465443,785.65119778297,5592.36216566297,19955.3754731262,10299.492410618,5385.18197131571,5209.94552737246,31879.379137025
"16",5002.6906642079,59.1468650115161,781.232413333913,6081.07632459232,24779.1373770627,16525.9204928643,4433.48810001634,5858.67595282821,21992.0494569254
