"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",86255.0412241286,3427.33492996969,2732.61078592585,33565.6298567986,28075.5822943198,0,0,34222.5094106054
"2",30487.438353465,236.605142976042,10808.4453778115,49159.1154648447,15555.6371367551,38142.6760275453,14786.5948574533,9246.00966027313
"3",24913.6387464962,1056.91431550246,31788.3617773404,98627.4711994795,47341.4938942685,27581.5540200775,31884.8606238243,2684.76974271337
"4",1691.15232920093,1465.20261809186,1487.24647896776,9874.57485706024,10748.3739151307,1455.38012399735,12222.3516154397,19514.988751063
"5",726.188184322442,650.141562436633,2431.01494042659,4253.1098806102,2211.13122312211,2322.41969810866,2303.65834046034,294.947465797649
"6",7234.64535083994,642.225347263541,3251.48427925692,6936.47009836997,2822.16848832184,584.19767080029,1057.11665878803,7690.77621225926
"7",1182.15006112412,374.724558832933,0,290.964367948416,245.452979058536,0,0,0
"8",1222.22972271546,0,0,826.350867572843,104.680810264265,0,0,16.5372318208633
"9",0,291.590129148569,34364.8673898052,1563.44133191916,587.738514949134,0,0,24.9714923153622
"10",0,0,0,0,0,0,0,0
"11",38.3572149639897,0,55.3838244061646,526.752442141621,175.707264262058,0,0,3612.49354671933
