"","PERTYPE","freq"
"1",1,1673776.85348345
"2",2,272497.996243916
"3",3,127404.530898393
"4",4,125297.43987078
"5",5,495066.449762152
"6",6,88863.8221892013
"7",7,336638.144981263
"8",8,120573.635669991
