"purpose","avgTripLength"
"esco",5.84520797202112
"imain",6.93938028918299
"idisc",6.50818199167278
"jmain",7.06571463190461
"jdisc",6.09063861358742
"atwork",6.0110762159411
"Total",6.41117330782696
