"purpose","avgDist"
"work",3.67441403983756
"univ",2.49173267326733
"sch",4.36900552486188
"esco",4.13432354483482
"imain",4.7575826446281
"idisc",3.46034141443122
"jmain",3.21383838383838
"jdisc",2.96336909871245
"atwork",2.33753914988814
"total",4.13706860237434
