"PERTYPE","tour0","tour1","tour2","tour3pl"
"1",1,784803.599513503,387170.84515447,83626.3125566654,31494.8095454027
"2",2,100704.301357664,64525.699505776,23404.7063084361,9918.441755863
"3",3,47594.4665243899,40760.2807319249,7492.29038493133,3753.40688041831
"4",4,54589.6700370063,43023.2554081739,19295.9724771443,12067.1956397462
"5",5,107600.716567967,176384.060969606,55894.1482973959,24653.4003300636
"6",6,74106.989363042,25774.3766445786,5094.89198165028,1809.47766687355
"7",7,279686.9659836,132699.21424304,27930.4935612631,1549.62911370237
"8",8,118605.717537319,66012.5897422946,12455.1235407578,1505.67190167082
