"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",501215.970110446,9407.33719180174,2537.64129290581,0,0,1911.23622683603,12.8592428434037,0,0,0
"2",0,92438.902737319,2663.35332639502,0,0,74.0511041130946,0,0,0,0
"3",0,0,34387.3060146292,0,0,0,0,0,0,0
"4",3415.79575032401,528.025188139978,229.382292480428,153726.01153862,86.3466482932354,562.834964390952,0,223.026093688833,0,0
"5",0,0,0,0,1555.92516768923,0,0,0,0,0
"6",0,0,0,0,0,34111.4823629381,29.3471546549906,0,0,0
"7",0,0,0,0,0,0,212.296105721372,0,0,0
"8",0,0,0,0,0,0,0,496.843435417137,0,0
"9",0,0,0,0,0,0,0,0,801.138498456623,0
"10",0,0,0,0,0,0,0,0,0,0
"11",330.112645546904,526.801373338154,70.2794486934203,840.368622153397,0,0,0,0,0,0
