"comp","partysize","freq"
"All Adult",2,49.0174060083243
"All Children",2,50
"Mixed",2,31.115373675088
"Total",2,38.084621145895
"All Adult",3,0.9825939916757
"All Children",3,0
"Mixed",3,13.7014785802446
"Total",3,8.74596502327087
"All Adult",4,0
"All Children",4,0
"Mixed",4,4.09568672587751
"Total",4,2.50444841536979
"All Adult",5,0
"All Children",5,0
"Mixed",5,1.08194952316088
"Total",5,0.661595222034422
