"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",285.455150282803,0,0,0,114.735995713069,486.469993694151,0,0,0
"2",496.108862522378,0,0,0,142.80708621026,237.100164133323,0,0,0
"3",1339.21612378998,0,548.344202719408,0,304.940189567817,438.079302624474,0,0,0
"4",1769.88718992123,0,0,340.787929020858,569.20143654065,1514.92910038827,0,0,0
"5",3293.56887860069,0,0,801.162670053317,1277.25926276019,135.438270504047,0,0,0
"6",9083.5627842639,0,52.9304505803348,2259.15276043648,1333.80786999937,1827.52412463841,0,0,0
"7",16044.3290242926,160.529742908936,596.998358737946,1169.204113365,5798.96053918527,1593.93544666468,0,0,0
"8",23037.5183937866,1899.73868759002,6207.04252221318,5488.67392716694,6231.20280351057,3471.15888188578,0,0,12.4029238656475
"9",36455.1399126305,99.5933735815637,3731.77060988987,7526.59227403384,9168.53743106188,8358.03513582406,13.2803192701602,318.894793305933,671.337328418469
"10",38976.1542581317,1187.91149855105,3656.151163358,7486.43828684751,12034.3209794166,6487.74427215183,84.6093979683122,0,33.9800989298071
"11",34028.998829909,32.1775565692372,3912.0363555151,9450.10701527505,21649.6378715036,9493.98409254261,527.553687540957,458.03163434091,255.667990488629
"12",24301.7771031546,191.952362892471,2047.56085298051,14756.3930156584,29443.4218418386,14933.353497073,5239.93225347456,759.801915442751,974.491331422459
"13",16282.6935132286,461.400834883899,720.78318970128,6685.46011044171,30877.6580585324,22573.2933437327,6899.36875135921,508.924213034104,272.135937029204
"14",10716.063241766,45.8099736151554,387.791438083395,12170.1400045357,37769.5399864288,22868.9465164874,9652.08253016443,399.066210302618,511.138424398229
"15",8532.85901670531,263.906870472654,221.01715833517,6926.37627257222,40259.794384244,23280.3095838805,6214.45093565005,1194.588432461,451.302386027138
"16",8899.76869606115,957.732026937951,338.24646846996,7729.78372245505,35880.4259105956,21457.0338146506,4591.61810799338,1349.53000542321,1190.03815953869
"17",18416.5734377654,2414.11248370745,533.054606950098,7957.00566063017,37253.8619057901,20936.6702686031,5694.57187822095,2438.3952026239,4527.25191776074
"18",15901.2102100606,2500.78365009526,798.531411194813,10087.2835454768,45085.9860984796,29084.9931676901,4330.00224035586,1656.1552511062,5623.27608251907
"19",15349.5823473628,3450.45852769166,1511.81581061012,8564.63383355275,56190.0466235334,24272.6284038811,6189.52650811789,3436.01383867496,2533.92616118154
"20",20425.0034729933,1785.1984904923,2649.39684785574,11252.643107428,46160.8464371234,23198.9229727055,6085.28716478718,1170.63618333063,6509.44264598476
"21",16490.1320204646,2123.16502764984,897.695746582181,15178.2549134919,48108.3135003444,23740.7785282886,3769.24583569001,926.305232683692,3878.50388094555
"22",29176.4473498942,2835.59814271581,5374.18439973383,17303.7895366802,43408.5137014426,22999.5211580846,8417.84871935888,2048.66583818937,1120.8725190983
"23",29146.5511473943,1124.63470619032,4148.75890805197,14513.3262728648,54751.9140310031,23839.3938425819,9041.42980070516,2351.4647569756,1684.2203918464
"24",30748.9957505911,47.0042498682895,2852.90721777631,17887.7815863802,46794.7188495428,31096.9850841491,9194.32926056441,1392.11468147092,1655.0382761297
"25",35994.8784774931,1069.32110304665,11614.3335865612,22534.7304985402,39625.4953170039,31562.7395425562,3258.23960723857,1632.52101588473,956.098968260573
"26",57977.1373844912,222.648667208385,7489.57217247559,14043.2038088026,47971.8658247245,37099.3187930925,2626.31587017607,1687.10347792695,255.264006408903
