"","esco","imain","idisc","jmain","jdisc","atwork"
"1",54732.2371993228,118471.573654425,123429.139086823,13567.5123476192,46640.4483258023,152800.608764202
"2",73560.4621668473,102954.947007911,93783.1635283698,27921.7014859625,32439.9823585875,78036.6124637085
"3",53637.3556730489,71608.6297519918,87140.9528281589,19690.554562988,21106.8156029511,61432.4970738102
"4",52603.4889401201,67336.773328519,53964.5418624527,16330.8453915112,19963.005949902,50204.6133077833
"5",34229.284067987,57198.4592653556,55027.581685185,15462.5109035522,21573.0053686567,35242.1194489052
"6",30499.2444339404,40926.1902677474,37477.3463663413,15077.4398855026,12447.6656240636,25039.6505050226
"7",20248.2897557064,33565.8189634539,26602.695712181,8259.38133637027,9956.29328432607,24719.2377868628
"8",28967.3476182079,33658.4762317838,23045.6821236885,6974.01167708358,15185.9806558401,19445.9346726578
"9",12800.7327523648,23924.1969681797,18313.8483341124,7774.28555633744,5859.99005075868,10870.9391382931
"10",18423.0414867131,20666.5286312354,24393.3275791274,5544.2817025326,5379.38371022123,11195.8997344756
"11",7108.4974212932,17766.6910878893,16912.0208527659,708.138934323762,3182.72320820489,12540.1115153158
"12",6088.92479051415,17448.977912716,11050.6974016792,1691.80069339591,2209.61006374704,7034.5445921911
"13",5639.30436090614,11264.6935131579,9993.9946313823,4090.97790538041,5571.12741349932,11240.2463347417
"14",7880.82295532612,8523.94323612137,10812.536624216,5136.88000265021,4925.87945692682,11656.8583436716
"15",4460.31789092717,9462.23450682929,5823.37038516811,1908.01796453338,1858.61196154777,6537.16919459717
"16",4858.21395646756,8966.76917312005,13492.8927804153,975.700503569885,5435.95380765679,8201.16888029586
"17",1288.34574917159,6454.32293691516,6416.17288894172,476.658872569823,2732.32463468061,5296.7995807567
"18",3559.11337638364,4721.15940779274,5398.42466259841,850.174404682819,3446.90892337198,6946.20205515091
"19",3198.05188876799,5015.78492919826,4854.28330942773,35.262654190684,557.985871627769,3417.29235095632
"20",1728.63465974789,7477.50063514597,6127.35138232356,1844.3351413393,1951.8145664664,3744.41507174483
"21",3672.40720391571,5461.29034228266,4065.5166778197,3358.98645948693,394.500504697008,4154.13913786828
"22",1493.70651138852,4500.02780512246,4917.14768700967,1265.3545167018,765.841362873877,2570.72399603307
"23",546.620196279384,4208.40956654017,2507.26898834193,1447.77012554183,428.144007956009,1215.10234716783
"24",978.267290927238,5912.51255410159,2107.90633356281,2047.33349106859,1456.31483631523,1601.00677275355
"25",1516.16335075247,2537.01508130818,2020.48235481308,505.444214336368,969.815131530662,4266.11068660422
"26",1663.21340585119,2398.85049750985,1094.32957486271,1082.99609720215,0,1419.52648568165
"27",1035.63594198003,3980.62554366449,4498.17117081721,0,202.278811473776,1827.30242317332
"28",297.010401359738,942.928179348379,1075.49967289609,288.839178622844,0,2046.36409032186
"29",1280.24809594235,2398.51133597802,3907.34718718445,277.17555448561,2468.06484391493,2674.64351050558
"30",116.238999674764,436.180440437299,1533.90076885173,973.315992459099,247.13974051433,980.929734804542
"31",1130.17413481015,2323.68537173234,287.550288990898,1547.99865422059,220.885549855768,407.508144607241
"32",10.3421037988842,616.590425621104,830.410259351266,0,1176.35262658502,224.617667838913
"33",12.5917585047176,1654.47626674863,821.167257819379,953.781978310491,176.066308538831,161.859623923417
"34",71.3503048838607,1918.9058218554,1458.32544366581,961.559079347905,863.466322517474,226.779326064827
"35",95.0767732479349,732.842204290663,1046.53076693064,103.066109477314,345.563884182591,1010.72500132851
"36",51.0735401775972,1050.07939392018,498.066588994443,0,809.678028813046,754.792474877059
"37",251.620401918997,612.354375141532,886.518213722479,950.336250083511,86.5460147201091,965.725603291346
"38",18.254663751485,219.441382864795,840.185106020472,136.713729346422,0,274.19123908476
"39",212.42980212422,688.502145795273,105.352189894958,0,51.4369713736149,143.252351190679
"40",392.404769214458,1098.46171891708,91.3531238128524,118.174756302492,0,950.152154721571
"41",3251.42484451577,10391.9794803325,8832.20515664302,140.488257680259,416.262262746466,7618.43198906048
