"","HHSIZE","JOINT","freq"
"1",2,0,311364.634953822
"2",2,1,89526.9207402411
"3",3,0,116740.343894534
"4",3,1,56949.4243705952
"5",4,0,105673.770251646
"6",4,1,47108.8161663372
"7",5,0,66903.252817826
"8",5,1,37069.9197557369
