"","1","2","3","4","5","6","7","8","9","20"
"0",55753.3324155301,386.280394808054,6570.48513853927,12545.8230016536,18771.3855933336,16929.8432031328,6718.83585425052,2002.56616682408,16638.3026824977,1028.70060090391
"1",581715.238336277,16073.5792644289,172470.059910682,199171.485138357,189465.149352599,223918.754066431,142547.955730803,108795.690227819,326954.206460304,575512.253462245
"2",201342.700356232,2950.62034250097,22331.9924590497,44381.8147439524,66192.85475833,70161.4523998414,21722.0114557101,20078.7882500315,64115.3531997578,10201.0845444155
"3",71228.3844313589,1207.84873154725,8786.81582174179,21113.2814060965,16090.0369972828,38433.0220291946,5775.57749891071,8653.81964397189,16971.2861541374,2627.49691398631
"4",34601.9201384714,1215.04363639343,7585.97680156533,15295.9260545834,14524.0627257417,27934.4064061128,4818.51801691317,3227.0793226887,20538.5475329377,479.978139107121
"5",85428.1764980781,3329.44891823754,11444.4810580602,34441.8151939753,60939.8937643469,41368.1218964475,22300.9660068299,20471.4953681371,42438.3470483387,12909.4423942737
"7",20048.5143362698,26.0694517910005,583.287325865796,4350.71968156744,11617.3385321216,3964.46375892682,3005.88630138502,1096.68468115584,6583.07111499306,49.4350010088233
"8",10279.5888534393,240.101116303636,212.795271413594,4247.46954489643,4656.38669456738,7913.88047748932,1114.35275259807,1564.13529739405,5506.65801817139,116.246583460198
"9",22587.7722248687,2687.31509865387,1891.85611598367,13179.5918115379,18653.2194515025,18405.1730005869,4315.10515186639,6021.45940732537,14791.1164263461,1944.98592286924
"10",5426.64189832635,93.5866597699207,1023.02578687929,1537.77485745803,7430.59088193748,3817.18996407844,1877.40999049991,1603.31696761629,6094.55805027969,187.263840911352
"11",5070.03191968075,387.906473987722,0,1588.02321705688,2638.95887105405,2193.08933431534,857.957272818723,268.246195382755,1979.91396856871,8.58890905947441
"12",5356.3903350069,1021.80527215597,375.925323478701,1125.61081866023,1364.22467193711,1507.56625891893,42.9610682356739,229.440529258371,858.821561467121,0
"13",12727.5389641509,612.44571387085,75.8064310878058,11517.7808321047,12322.5137917541,47204.6582865142,6172.49710258881,14618.4358212038,21935.3132436034,196.539843850545
"14",3629.25560121389,407.053662757923,213.661261400945,3614.37624436365,7014.63410330813,3671.5569672502,538.342795379004,1079.91004111023,2943.76056608208,8.82190052339559
"15",861.741514251208,0,0,656.043141317432,938.059105099597,497.926109055853,97.4652355125466,162.802006484676,882.114444182348,0
"16",1743.55451057366,17.4805427315261,0,582.817446807472,956.174473783985,2702.86421277082,48.4067983533232,146.149961880293,478.48729749416,0
