"","PERTYPE","TOURPURP","dow_num","freq"
"1",1,4,2,42046.8359424721
"2",1,4,3,35387.4691468891
"3",1,4,4,53992.4282921824
"4",1,5,2,39024.0901713735
"5",1,5,3,37993.0157995033
"6",1,5,4,45986.9005774557
"7",1,6,2,43049.1152506022
"8",1,6,3,49114.7579469352
"9",1,6,4,41891.3082005992
"10",1,7,2,20405.0433393338
"11",1,7,3,18899.8087032547
"12",1,7,4,25507.1467252566
"13",1,8,2,16991.6633593746
"14",1,8,3,13033.96828049
"15",1,8,4,15614.8007357328
"16",1,9,2,64445.5021672535
"17",1,9,3,66487.8264563298
"18",1,9,4,61145.3295723593
"19",2,4,2,10747.2563702176
"20",2,4,3,9639.49272881741
"21",2,4,4,11912.848222144
"22",2,5,2,9910.8318262635
"23",2,5,3,7831.51232371387
"24",2,5,4,8544.01248054269
"25",2,6,2,14727.1489331851
"26",2,6,3,17423.1190927299
"27",2,6,4,19228.3777583782
"28",2,7,2,4207.70387061903
"29",2,7,3,3007.70659326868
"30",2,7,4,3889.44179379222
"31",2,8,2,3554.48773867243
"32",2,8,3,3356.52101474703
"33",2,8,4,5614.60008972291
"34",2,9,2,14647.0006466791
"35",2,9,3,13672.5478919291
"36",2,9,4,11881.8952291346
"37",3,4,2,4948.17004836354
"38",3,4,3,6478.14800033251
"39",3,4,4,2860.75856145565
"40",3,5,2,3309.92410169374
"41",3,5,3,1354.06705644533
"42",3,5,4,6536.36019131102
"43",3,6,2,12381.4570699886
"44",3,6,3,9303.56916830533
"45",3,6,4,7308.45295743118
"46",3,7,2,2023.89316810022
"47",3,7,3,1731.90094585791
"48",3,7,4,3024.69149683068
"49",3,8,2,2249.68265251502
"50",3,8,3,1071.21439293563
"51",3,8,4,2004.13540870055
"52",3,9,2,3472.16829685198
"53",3,9,3,3941.77895686125
"54",3,9,4,2832.14385600444
"55",4,4,2,10854.7091584118
"56",4,4,3,11606.1515518921
"57",4,4,4,8473.76469064771
"58",4,5,2,7605.78103848912
"59",4,5,3,9855.80729843278
"60",4,5,4,8749.00602410002
"61",4,6,2,8975.28475944758
"62",4,6,3,3192.28277736135
"63",4,6,4,9242.48914681684
"64",4,7,2,4403.55966006858
"65",4,7,3,2778.66406684329
"66",4,7,4,3425.79245611092
"67",4,8,2,3378.64688689025
"68",4,8,3,3233.28467332842
"69",4,8,4,3430.39204618361
"70",4,9,2,9708.16360521055
"71",4,9,3,6459.12921593233
"72",4,9,4,9924.53081461298
"73",5,4,2,13193.221593705
"74",5,4,3,6651.16879821232
"75",5,4,4,15003.5933682782
"76",5,5,2,30783.2771873425
"77",5,5,3,34966.8663004995
"78",5,5,4,35390.3650401816
"79",5,6,2,69054.8331779297
"80",5,6,3,45393.9009423213
"81",5,6,4,51878.3811176092
"82",5,7,2,14155.3621722371
"83",5,7,3,12064.2551553902
"84",5,7,4,18193.4893939726
"85",5,8,2,12435.3895022136
"86",5,8,3,10773.9682697117
"87",5,8,4,7993.12637560868
"88",5,9,2,44328.300209099
"89",5,9,3,38116.2149818782
"90",5,9,4,34690.7361759615
"91",6,4,2,2280.31821558287
"92",6,4,3,1699.74775467682
"93",6,4,4,2803.45740741163
"94",6,5,2,1966.44199962504
"95",6,5,3,981.939548831739
"96",6,5,4,772.107222922455
"97",6,6,2,2745.16093595053
"98",6,6,3,3399.55175223553
"99",6,6,4,2719.50271217029
"100",6,7,2,2116.55084108133
"101",6,7,3,877.708780349802
"102",6,7,4,2258.9898966225
"103",6,8,2,1307.45284626429
"104",6,8,3,2221.71806260841
"105",6,8,4,1314.54617972675
"106",6,9,2,3130.62312465733
"107",6,9,3,751.888523328627
"108",6,9,4,2293.2373424044
"109",7,4,2,25911.3552328729
"110",7,4,3,21922.1391418794
"111",7,4,4,29058.298740304
"112",7,5,2,4239.68030738721
"113",7,5,3,5773.47237339638
"114",7,5,4,3062.74748946327
"115",7,6,2,7648.51123043819
"116",7,6,3,7177.31380177235
"117",7,6,4,15388.8215300057
"118",7,7,2,2382.53882191102
"119",7,7,3,3074.78099378063
"120",7,7,4,2643.85254394883
"121",7,8,2,5170.50304584314
"122",7,8,3,3492.33973552367
"123",7,8,4,9292.32733920177
"124",7,9,2,8689.89216236031
"125",7,9,3,11152.4389506718
"126",7,9,4,9238.54711227244
"127",8,4,2,17504.958882776
"128",8,4,3,14573.6762842697
"129",8,4,4,17305.9493077058
"130",8,5,2,2043.34528069915
"131",8,5,3,3218.88136111362
"132",8,5,4,6294.60706250544
"133",8,6,2,2319.13098974297
"134",8,6,3,5678.16814850277
"135",8,6,4,2094.1715414592
"136",8,7,2,2316.19144246043
"137",8,7,3,944.986365197097
"138",8,7,4,1732.94780580895
"139",8,8,2,3273.47915024195
"140",8,8,3,1206.88613564267
"141",8,8,4,2381.95104680325
"142",8,9,2,2197.38595765387
"143",8,9,3,4677.51312842064
"144",8,9,4,2866.24626148305
