"id","purpose","freq_as0","freq_as1","freq_as2","freq_all"
"1","work",2256.34231190465,34126.8563718788,749179.694541888,785562.893225671
"10","work",0,0,0,0
"2","work",967.940658322352,20051.424172719,176368.313294493,197387.678125534
"3","work",223.924202027623,4287.0710418399,92964.0046826349,97474.9999265024
"4","work",2958.05573279503,2690.98836389759,6495.40080950795,12144.4449062006
"5","work",142.385912699572,1156.74476122521,6438.56895543384,7737.69962935862
"6","work",10838.1611597587,9461.71597693805,22895.6637512234,43195.5408879202
"7","work",112.056382479741,629.697738595055,14365.033035244,15106.7871563188
"8","work",233.760088877784,652.721144907041,1875.35136121186,2761.83259499668
"9","work",0,0,195.939610210484,195.939610210484
"1","univ",0,1868.31782633736,11439.7547718305,13308.0725981678
"10","univ",0,0,0,0
"2","univ",0,154.205347362571,4910.37589051447,5064.58123787704
"3","univ",0,0,1502.79782318534,1502.79782318534
"4","univ",24.2735375275938,837.718634497591,1378.30737764727,2240.29954967246
"5","univ",614.855658044484,702.236497196144,188.250247782807,1505.34240302343
"6","univ",1133.21452720489,791.947392339209,3056.76545310751,4981.9273726516
"7","univ",0,0,946.125779124293,946.125779124293
"8","univ",17.1778181189488,0,0,17.1778181189488
"9","univ",0,0,291.590129148569,291.590129148569
"1","sch",0,0,11956.2086940733,11956.2086940733
"10","sch",0,0,0,0
"2","sch",0,944.357463802568,40107.2747206972,41051.6321844998
"3","sch",12.1693365360418,2641.50225083494,109734.32919528,112388.000782651
"4","sch",485.347208608352,611.635230280809,5540.38121284029,6637.36365172945
"5","sch",0,0,2192.2739770997,2192.2739770997
"6","sch",3386.04368435147,362.026775047979,8605.70564531822,12353.7761047177
"7","sch",0,0,0,0
"8","sch",0,0,859.520553579831,859.520553579831
"9","sch",5350.38405931892,1243.95636407635,116096.59353358,122690.933956976
"1","imain",3703.64884665357,12037.6577739415,395753.61300989,411494.919630485
"10","imain",0,0,0,0
"2","imain",2647.72408514165,12691.4597383099,257809.270246047,273148.454069498
"3","imain",2105.3258105364,10735.7256022548,246390.602860351,259231.654273143
"4","imain",10750.4231641924,1778.39004411403,34907.4282145123,47436.2414228188
"5","imain",2259.06148942952,1241.19770384158,5240.64513496254,8740.90432823364
"6","imain",16412.4169450848,820.78192428225,14589.9663236162,31823.1651929833
"7","imain",226.893733090652,27.006036263842,4126.57042289651,4380.470192251
"8","imain",1994.32015956072,21.7813499510468,1680.43709878978,3696.53860830154
"9","imain",82.2465173025576,728.784215408054,9412.66342875103,10223.6941614616
"1","idisc",428.055741054825,9168.16122115731,267137.613614248,276733.83057646
"10","idisc",0,0,0,0
"2","idisc",2082.43257226039,6452.22793380366,114186.925208033,122721.585714097
"3","idisc",456.594130431405,3505.6218142876,128436.751086335,132398.967031054
"4","idisc",6222.78450329639,6609.46230016152,97764.5818827677,110596.828686226
"5","idisc",1233.30798922979,256.635694269803,7054.05118875333,8543.99487225292
"6","idisc",7407.52537021545,532.037013013024,8338.94955357521,16278.5119368037
"7","idisc",1063.96759677505,24.5453470298494,1045.89942227002,2134.41236607492
"8","idisc",510.52145064931,56.6520986081382,2004.08899290473,2571.26254216218
"9","idisc",0,73.8714097729866,3323.35684513968,3397.22825491266
"1","jmain",0,0,0,0
"10","jmain",0,0,0,0
"2","jmain",598.240023523814,4179.66238944644,156598.149807845,161376.052220815
"3","jmain",0,1099.19073219258,63038.125875542,64137.3166077346
"4","jmain",219.650905722368,1543.0388376236,6516.04128043287,8278.73102377884
"5","jmain",0,0,1548.42757906513,1548.42757906513
"6","jmain",592.570335680423,0,584.19767080029,1176.76800648071
"7","jmain",0,0,0,0
"8","jmain",0,0,0,0
"9","jmain",0,0,3725.73718647828,3725.73718647828
"1","jdisc",0,0,0,0
"10","jdisc",0,0,0,0
"2","jdisc",0,2622.44519143662,99270.9119200834,101893.35711152
"3","jdisc",1063.50161025654,1965.4392990533,66405.2484846648,69434.1893939747
"4","jdisc",104.490882028423,2994.85849273711,33116.343392093,36215.6927668585
"5","jdisc",69.0874639913832,2087.18833781166,1380.99193779546,3537.26773959851
"6","jdisc",0,0,1854.61310341606,1854.61310341606
"7","jdisc",0,0,0,0
"8","jdisc",202.847351389927,0,484.065854409241,686.913205799168
"9","jdisc",0,0,86.643552531777,86.643552531777
"1","atwork",782.160831682023,10317.2790042424,368123.428808387,379222.868644312
"10","atwork",0,0,0,0
"2","atwork",179.096823003096,5305.45509878069,59999.1044268448,65483.6563486286
"3","atwork",253.895229115464,2467.40198303465,22821.6038486075,25542.9010607576
"4","atwork",2951.18614583434,6426.61006215776,98766.5552977053,108144.351505697
"5","atwork",459.35802052024,260.671520468478,754.325111381311,1474.35465237003
"6","atwork",2974.52482723213,5360.64302505913,23571.861195253,31907.0290475443
"7","atwork",0,17.1778181189488,195.118287602423,212.296105721372
"8","atwork",395.859421457176,34.9543590252309,66.0296549347297,496.843435417137
"9","atwork",0,26.0052903903106,775.133208066312,801.138498456623
"1","Total",7170.20773129507,67518.2721975574,1803590.31344032,1878278.79336917
"10","Total",0,0,0,0
