"id","purpose","freq_dep","freq_arr","freq_dur"
1,"atwork",403.298606906408,244.752442726819,216191.97153757
1,"esc",1934.74206017471,1269.69510042338,41366.0728596135
1,"idisc",2215.32517155328,0,25011.6500800721
1,"imain",692.236651410739,455.851231988861,25784.9641690705
1,"jdisc",0,0,8822.05453924645
1,"jmain",0,0,5186.90379313312
1,"sch",48.8531567334574,0,4459.46927762919
1,"Total",16147.3071229428,2524.72008883319,329183.450299377
1,"univ",0,0,0
1,"work",10852.8514761642,554.421313694126,2360.36404304209
2,"atwork",692.245103467625,692.245103467625,260140.045188971
2,"esc",0,397.871031781887,126775.679878802
2,"idisc",1344.26330091972,25.0897944219863,93504.2470512291
2,"imain",1033.94155821498,56.5066203442972,88215.3146618794
2,"jdisc",0,0,40997.8925294396
2,"jmain",0,0,30498.5969376436
2,"sch",1096.68840543882,0,9243.27097006638
2,"Total",13592.9778629393,1230.67652843485,657792.180141175
2,"univ",0,0,0
2,"work",9425.83949489814,58.9639784190551,8417.13292314443
3,"atwork",1788.04647162349,359.42212855017,70791.9915703793
3,"esc",469.753807900609,0,50070.6257015617
3,"idisc",1042.54628224212,28.6133803779793,80292.5134504634
3,"imain",1431.38459089464,674.281579943392,90624.1380894351
3,"jdisc",50.1773992725392,0,31508.1581212089
3,"jmain",0,0,38969.5175501501
3,"sch",0,0,3835.78628418585
3,"Total",26192.6142410777,1530.08053708789,373767.403212543
3,"univ",17.4625385055247,0,12.1367687637969
3,"work",21393.2431506388,467.763448216345,7662.53567639516
4,"atwork",1174.47728779958,2081.66548435801,33579.9315765312
4,"esc",1104.12865685254,523.584817396934,30750.6413944544
4,"idisc",4284.88133229833,270.256747824377,87650.6806000662
4,"imain",3872.99394375064,941.592739019913,70483.8153357193
4,"jdisc",0,0,40686.875411571
4,"jmain",228.025319903992,0,23693.3530656225
4,"sch",0,0,3616.7838046422
4,"Total",42344.8413307153,4117.43344566898,304566.012609368
4,"univ",0,0,1579.75802634203
4,"work",31680.3347901102,300.333657069751,12524.1733944192
5,"atwork",2155.18127710563,1033.44464446756,7477.48875722019
5,"esc",2114.49670788237,777.284794433271,20529.8558299971
5,"idisc",10323.9832023443,1123.0580724022,63743.5984131409
5,"imain",5906.86234592113,437.520663842329,65467.9816234271
5,"jdisc",449.766964758888,0,30908.970329674
5,"jmain",55.4192426594038,0,17338.5097116276
5,"sch",1188.71145893782,0,2308.18647249136
5,"Total",74078.8651140297,3655.40590410818,220064.647294528
5,"univ",659.735703553143,0,154.088381049082
5,"work",51224.7082108669,284.097728962829,12135.967775901
6,"atwork",5775.31065946339,1649.3017670097,6508.26217359581
6,"esc",4014.88512197974,2561.96908462318,20849.2353949004
6,"idisc",8797.63334877173,2687.5511183318,57546.0343685999
6,"imain",10262.6393225064,3105.7962538447,52606.1118973565
6,"jdisc",1066.45577486495,75.8026813889122,22318.1597876865
6,"jmain",98.1587705177774,0,19259.7985795013
6,"sch",12544.5513215374,0,2706.6682266753
6,"Total",125992.995553756,10804.8054666054,195362.482691183
6,"univ",355.832362496212,0,787.077621629087
6,"work",83077.5288716186,724.384561407102,12781.1346412385
7,"atwork",10122.81567805,11401.6673930751,3338.95173816124
7,"esc",9477.00411828407,726.419928567502,8955.80893566909
7,"idisc",12741.4472671823,7673.58521906482,43590.2761392387
7,"imain",15805.7051382426,1273.95571584739,29285.715318456
7,"jdisc",2683.17730486399,221.544184346116,19549.104124415
7,"jmain",515.586637973609,0,10565.4214987856
7,"sch",27683.3914641394,0,947.111545757635
7,"Total",182153.732166269,22529.986786612,130622.975142671
7,"univ",1426.27937174616,0,113.54784252605
7,"work",101698.325185786,1232.81434571111,14277.0379996616
8,"atwork",13786.6520704232,4958.9042307716,1184.94210264704
8,"esc",24060.7804461681,6694.08179425593,10296.2789438738
8,"idisc",18930.3570092515,6159.14992984795,35771.0542595277
8,"imain",23100.2812057597,3505.98691358137,35389.4210523673
8,"jdisc",1455.32439032067,2490.50797910179,12359.7579826305
8,"jmain",2570.82680022821,942.978392818542,6306.05246777816
8,"sch",34003.7708917501,969.098107926993,3810.9535520709
8,"Total",267641.407702335,27701.8840592093,131153.656147524
8,"univ",5202.74636071819,0,1483.41710664737
8,"work",144530.668527715,1981.17671090507,24551.7786799813
9,"atwork",14345.1734914126,16613.7704012156,1378.9438470408
9,"esc",31781.5366535305,12469.8680859965,6232.42432439629
9,"idisc",20670.8275847985,10125.0159280553,22539.8206830699
9,"imain",29376.6910379966,3498.66892647124,16707.0137644973
9,"jdisc",2874.35103356877,1568.76474027195,8015.23219327219
9,"jmain",1718.56253127267,106.281418364554,1808.73353130197
9,"sch",56281.8950113727,1057.85255191978,852.123824630396
9,"Total",294219.620540597,47586.7868962487,74205.5847165681
9,"univ",2905.21567359239,0,466.616143578416
9,"work",134265.367523052,2146.56484395372,16204.6764047808
10,"atwork",15572.7154791462,11778.1112414517,544.965611908552
10,"esc",34115.2197581119,13363.1777099829,3256.99071243638
10,"idisc",26764.2806680274,3713.67824905009,21616.9731535682
10,"imain",34570.4572672614,2613.25485272,14680.6600032845
10,"jdisc",2960.24942213521,983.314379405612,3591.49589404735
10,"jmain",3731.74174899272,917.989298476737,2454.51612411627
10,"sch",40348.4880657897,629.127084697632,1044.66991979832
10,"Total",288130.518906631,35779.9536021898,66014.2396103314
10,"univ",2699.1475970925,0,1299.95261899429
10,"work",127368.218900074,1781.30078640515,17524.0155721776
11,"atwork",18095.538983063,19144.0876246449,652.369122623387
11,"esc",27409.7226874777,12006.6358757962,3916.05028360756
11,"idisc",30804.6493156387,5367.62278513264,19228.7337933496
11,"imain",32215.754330724,5385.1388304308,11462.703620884
11,"jdisc",3607.78674154403,3694.49622775812,3810.79598510352
11,"jmain",4827.15061298277,825.650760906179,1580.70062630207
11,"sch",35357.7251450496,2782.47855175416,3475.81331006083
11,"Total",238363.739605325,52612.7183055371,64867.0272429218
11,"univ",4906.92319732503,0,1808.74610873371
11,"work",81138.4885915201,3406.60764911414,18931.1143922571
12,"atwork",24791.7596460007,17903.4627738677,1471.47952041087
12,"esc",21072.4501544601,11944.7214879157,5699.449605861
12,"idisc",28920.786438404,7552.03768820055,10968.1687296359
12,"imain",35677.9749888239,11731.953723737,9024.33630335116
12,"jdisc",7475.36518731631,729.387672237514,1056.1310320762
12,"jmain",8996.66632477899,797.216127571368,1193.1242827058
12,"sch",18665.803941318,3291.39457047256,2381.9088052607
12,"Total",209664.135027911,56261.4801021294,55008.1621134987
12,"univ",2976.16452272552,0,2291.28140227852
12,"work",61087.1638240832,2311.30605812708,20922.2824319185
13,"atwork",24359.9659024329,24083.4357495635,516.519740509729
13,"esc",12327.5069279193,11487.8858730213,2251.33555598287
13,"idisc",24091.6460066167,9253.21065055223,7616.74108353179
13,"imain",45015.0205576806,13683.0656777304,7001.74741055266
13,"jdisc",5534.39267104482,1167.53368533203,1299.91367040494
13,"jmain",12184.7959418126,1402.90130455504,1468.07178453536
13,"sch",9497.1634723246,347.397378946551,4038.58812104734
13,"Total",165528.541182911,65805.6378913153,52172.5904899096
13,"univ",593.908192882576,12.1367687637969,2629.34362588934
13,"work",31924.1415101971,4368.07080285042,25350.3294974556
14,"atwork",30215.7186073242,23102.2043112871,2172.06726591781
14,"esc",8948.93508586225,9620.1763625828,2437.16718112324
14,"idisc",20034.3089261139,16996.7435308217,4278.48946801622
14,"imain",25402.3171394935,19278.5332686499,11644.4593671314
14,"jdisc",11713.4123296376,2091.1634376039,1610.00723795611
14,"jmain",11510.5242134688,5844.44104409417,142.817863158432
14,"sch",1687.517767859,391.440572804416,8272.35428081252
14,"Total",129480.784746889,80694.7669605857,53562.4435576756
14,"univ",832.53916462588,0,2578.99290930391
14,"work",19135.5115125043,3370.06443274175,20426.0879842559
15,"atwork",25528.1088631722,31879.379137025,16.5372318208633
15,"esc",10284.0234961148,5592.36216566297,4517.49787283879
15,"idisc",19588.9604340938,10299.492410618,7848.23982450069
15,"imain",25311.420407995,19955.3754731262,7742.55456215561
15,"jdisc",8706.68889039026,5209.94552737246,84.720738809084
15,"jmain",6114.25149866189,5385.18197131571,5810.8670226927
15,"sch",607.536108767703,785.65119778297,20987.9184536887
15,"Total",114331.44988602,84612.6270455888,72030.6893461919
15,"univ",1166.99412895348,52.286861465443,2502.98714344683
15,"work",17023.4660578707,5452.95230122,22519.3664962387
16,"atwork",41258.7611979911,21992.0494569254,9.50395098286647
16,"esc",4638.50934497572,6081.07632459232,4480.39393281823
16,"idisc",15713.0473194461,16525.9204928643,5860.64727116677
16,"imain",24260.4367681649,24779.1373770627,6129.36078102122
16,"jdisc",7289.07085804996,5858.67595282821,207.922274237474
16,"jmain",4691.54776231637,4433.48810001634,0
16,"sch",457.823510506051,781.232413333913,45008.8185536723
16,"Total",110090.635241603,85513.4176468427,92067.3244392503
16,"univ",87.949779651382,59.1468650115161,440.680957683916
16,"work",11693.4887005019,5002.6906642079,29929.9967176676
17,"atwork",45879.2417397972,35618.8534267069,12.35915503773
17,"esc",5224.88063267664,3508.04034461543,4051.10862869682
17,"idisc",20877.8865417656,15580.7281463204,6086.70296503812
17,"imain",28522.9868830476,19024.6914422578,8248.00236749281
17,"jdisc",6571.11657762434,7584.10209658687,197.52804505174
17,"jmain",8028.47297724737,6513.86897123476,0
17,"sch",1185.35874658664,593.462769965901,32812.7808224289
17,"Total",131696.633303233,97346.9288226141,82672.9307390913
17,"univ",0,381.674606801704,1825.15382433214
17,"work",15406.6892044873,8541.50701812435,29439.2949310131
18,"atwork",54206.0876258607,35569.6586154261,608.45443629619
18,"esc",7697.06422512922,8267.88106412565,4678.6255796454
18,"idisc",14386.7422392079,11617.9361291634,3835.93313163657
18,"imain",23889.6096136239,21590.0524695854,5525.20922544108
