"","PERTYPE","freq"
"1",1,1287095.56677004
"2",2,198553.148927739
"3",3,99600.4445216644
"4",4,128976.093562071
"5",5,364532.326165033
"6",6,106785.735656144
"7",7,441866.302901605
"8",8,198579.102722042
