"","PERTYPE","freq"
"1",1,1471611.98535757
"2",2,216618.383663557
"3",3,115488.347028059
"4",4,128074.656562204
"5",5,406874.132237383
"6",6,102749.199461504
"7",7,468043.732906895
"8",8,194987.373596481
