"","indi","joint"
"1",1117800.78233373,25397.3798903874
"2",30656.5852799386,35.1090433464942
"3",233566.168705748,49517.497840549
"4",369350.353134389,84407.0553099654
"5",316195.040063293,117380.443705408
"6",451334.810941918,59252.1845453131
"7",156067.007032097,65887.2420005574
"8",134397.084968683,55570.4932914065
"9",430751.04063935,118958.817129812
