HH_ID,JTOUR_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,COMPOSITION,JOINT_PURP
18112062,1,2,4,5,nan,nan,nan,nan,nan,nan,nan,2,3
18114244,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
18114244,2,6,1,2,3,4,5,6,nan,nan,nan,3,8
18115411,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18116453,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18117111,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,9
18117111,2,3,2,3,4,nan,nan,nan,nan,nan,nan,3,4
18121526,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18129401,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18139584,1,3,1,6,7,nan,nan,nan,nan,nan,nan,3,9
18144664,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,5
18156171,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18160621,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,4
18160621,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,6
18160621,3,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,4
18160935,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18165668,1,2,1,5,nan,nan,nan,nan,nan,nan,nan,3,3
18165668,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,8
18173226,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,2,9
18177061,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18178955,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,7
18182034,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18189381,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,1,1
18189381,2,2,1,4,nan,nan,nan,nan,nan,nan,nan,1,1
18195895,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,5
18195895,2,3,2,3,4,nan,nan,nan,nan,nan,nan,3,8
18216217,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18223794,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18224900,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18225167,1,4,1,2,3,4,nan,nan,nan,nan,nan,3,9
18229660,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18232229,1,3,1,2,4,nan,nan,nan,nan,nan,nan,3,7
18232684,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18234602,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18235553,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,5
18240028,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18241142,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18244257,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18248717,1,3,1,4,5,nan,nan,nan,nan,nan,nan,3,5
18256005,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,5
18263035,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18269465,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18270971,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18270971,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18271869,1,4,1,2,3,4,nan,nan,nan,nan,nan,3,5
18284860,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18290659,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,7
18292460,1,3,1,2,3,nan,nan,nan,nan,nan,nan,1,5
18295472,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18295472,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18299333,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,1
18303335,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,4
18304439,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18307277,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18308169,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18312813,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,5
18315467,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18316703,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,4
18319652,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,6
18324573,1,2,2,5,nan,nan,nan,nan,nan,nan,nan,3,9
18324573,2,4,2,3,4,5,nan,nan,nan,nan,nan,3,4
18330857,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18335561,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,1,5
18340724,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,9
18344383,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,3
18360236,1,4,1,2,3,4,nan,nan,nan,nan,nan,3,3
18374112,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18374112,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18380012,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,3
18385130,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,1
18388727,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
18388727,2,4,1,2,3,4,nan,nan,nan,nan,nan,3,7
18389572,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,6
