"District","Workers","WFH"
"Anoka",187111,7078
"Carver",55615,2386
"Chisago",28172,1414
"Dakota",226885,8115
"Goodhue",23583,1348
"Hennepin",648998,20793
"Isanti",19792,979
"Le Sueur",14781,879
"McLeod",18672,951
"Pierce",20606,1011
"Polk",21637,1296
"Ramsey",261056,8263
"Rice",31004,1474
"Scott",76797,3057
"Sherburne",49752,2342
"Sibley",7612,433
"St. Croix",47269,2277
"Washington",131975,5231
"Wright",71149,3190
"Total",1942466,72517
