"distbin","PURPOSE","freq"
32,"jdisc",18
33,"jdisc",13
34,"jdisc",10
35,"jdisc",3
36,"jdisc",10
37,"jdisc",6
38,"jdisc",8
39,"jdisc",6
4,"jdisc",4883
40,"jdisc",5
41,"jdisc",3
42,"jdisc",13
5,"jdisc",3467
6,"jdisc",2619
7,"jdisc",2165
8,"jdisc",1606
9,"jdisc",1434
1,"atwork",2369
10,"atwork",1536
11,"atwork",1264
12,"atwork",1089
13,"atwork",866
14,"atwork",636
15,"atwork",579
16,"atwork",508
17,"atwork",364
18,"atwork",327
19,"atwork",254
2,"atwork",34844
20,"atwork",241
21,"atwork",197
22,"atwork",149
23,"atwork",132
24,"atwork",77
25,"atwork",68
26,"atwork",65
27,"atwork",39
28,"atwork",32
29,"atwork",27
3,"atwork",12179
30,"atwork",26
31,"atwork",19
32,"atwork",18
33,"atwork",9
34,"atwork",13
35,"atwork",5
36,"atwork",5
37,"atwork",8
38,"atwork",8
39,"atwork",5
4,"atwork",6886
40,"atwork",6
41,"atwork",0
42,"atwork",10
5,"atwork",4869
6,"atwork",3653
7,"atwork",2938
8,"atwork",2274
9,"atwork",1877
1,"Total",102944
10,"Total",64967
11,"Total",54259
12,"Total",45242
13,"Total",38062
14,"Total",31932
15,"Total",26741
16,"Total",22414
17,"Total",18766
18,"Total",16235
19,"Total",13422
2,"Total",1097118
20,"Total",11443
21,"Total",9451
22,"Total",8044
23,"Total",6576
24,"Total",5441
25,"Total",4579
26,"Total",3729
27,"Total",3075
28,"Total",2611
29,"Total",2175
3,"Total",517110
30,"Total",1886
31,"Total",1515
32,"Total",1304
33,"Total",1135
34,"Total",907
35,"Total",761
36,"Total",639
37,"Total",526
38,"Total",398
39,"Total",356
4,"Total",319568
40,"Total",319
41,"Total",254
42,"Total",1364
5,"Total",205564
6,"Total",152787
7,"Total",121617
8,"Total",93942
9,"Total",78224
