"PERTYPE","tour0","tour1","tour2","tour3pl"
"1",1,158339,114822,19064,3563
"2",2,242705,180115,61807,14250
"3",3,38137,45609,8862,2522
"4",4,74243,26051,12991,8167
"5",5,1095738,384678,114040,34464
"6",6,137935,81596,44198,25950
"7",7,66183,197684,70394,36072
"8",8,89638,238534,80465,24950
