"purpose","avgDist"
"work",3.39009280558848
"univ",3.20176785483012
"sch",3.51691942290706
"esco",3.73737744270082
"imain",3.79027243050699
"idisc",3.14426875013949
"jmain",4.17794496279674
"jdisc",4.15235546334716
"atwork",2.96030532738502
"total",3.48100650546611
