"distbin","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
1,582,0,0,362,0,6597,0,0,0,33,0,2371,10,51,98,0,0,251,0,10355
2,425,3,0,601,0,6999,0,0,0,181,0,5967,172,50,71,0,0,193,0,14662
3,1051,1,10,561,62,4688,0,0,0,12,0,3230,77,97,0,0,0,308,0,10097
4,860,40,0,829,0,5822,0,0,0,57,0,2773,64,96,0,0,43,364,0,10948
5,835,28,7,1105,0,5138,0,0,0,0,0,1867,0,79,60,0,11,576,0,9706
6,1103,132,16,800,20,4554,0,0,0,0,0,1660,0,29,5,0,4,276,20,8619
7,787,107,0,774,0,3104,0,0,0,8,0,1510,18,22,0,0,52,179,21,6582
8,625,200,4,613,0,2517,0,0,0,6,0,1059,23,27,24,0,22,217,3,5340
9,445,85,1,675,0,1676,0,0,0,42,0,695,5,146,14,0,25,212,7,4028
10,405,36,1,579,0,1220,0,0,0,11,3,431,0,105,1,0,45,247,0,3084
11,323,30,2,508,0,866,0,0,0,8,0,393,5,161,0,0,11,181,1,2489
12,237,23,1,318,5,658,0,0,0,0,0,290,13,135,2,0,14,263,1,1960
13,150,22,0,299,4,510,0,0,0,9,0,270,3,77,7,0,24,197,6,1578
14,123,48,2,213,5,460,0,0,0,11,3,204,47,60,7,0,53,271,1,1508
15,145,12,1,226,1,304,0,0,0,0,1,137,31,36,1,0,20,154,9,1078
16,126,25,0,207,1,296,0,0,0,11,0,90,77,30,20,0,7,178,5,1073
17,143,23,0,191,5,330,0,0,0,2,0,77,25,30,2,0,12,180,5,1025
18,116,41,1,292,2,276,0,0,0,9,0,58,2,22,1,0,13,202,35,1070
19,149,27,2,285,3,310,0,0,0,9,0,56,7,39,10,0,36,241,30,1204
20,141,17,0,233,9,292,0,0,0,0,0,38,6,44,16,0,18,252,34,1100
21,149,15,0,262,5,271,3,1,3,2,1,31,8,64,0,0,53,248,56,1172
22,141,67,0,186,1,274,0,0,0,9,1,19,6,89,11,0,40,282,41,1167
23,123,38,0,170,3,225,3,0,6,17,0,20,0,114,18,0,44,226,23,1030
24,128,48,0,132,1,220,1,0,2,2,1,22,5,95,47,1,42,212,74,1033
25,98,62,5,117,0,184,8,1,0,24,0,12,1,99,8,0,47,173,14,853
26,84,94,9,115,4,144,2,18,0,4,0,9,3,159,31,0,58,162,43,939
27,143,56,4,108,12,134,4,7,4,5,1,6,2,136,24,0,43,115,29,833
28,85,100,5,73,5,138,27,0,2,5,0,4,4,124,64,1,56,105,40,838
29,117,107,7,62,25,108,1,2,0,11,1,3,2,123,30,0,51,69,59,778
30,111,62,15,79,24,110,16,2,0,12,2,6,3,105,17,0,56,90,67,777
31,102,66,17,75,17,91,4,7,0,6,4,5,4,86,20,2,35,88,90,719
32,102,84,19,68,8,63,29,7,0,17,1,3,1,87,42,0,47,55,71,704
33,97,62,19,67,7,54,7,5,1,15,0,6,0,45,56,0,35,67,86,629
34,89,44,40,40,11,40,16,3,0,8,11,1,11,57,38,0,42,42,75,568
35,91,76,22,35,13,44,6,9,5,15,7,2,12,47,54,0,37,36,91,602
36,88,58,21,51,13,37,22,12,6,7,4,0,14,31,44,2,47,55,118,630
37,62,54,16,35,17,17,7,9,5,12,5,0,7,37,26,0,57,39,89,494
38,42,51,8,27,9,15,17,3,1,10,8,0,3,65,45,0,45,34,101,484
39,37,35,24,19,15,14,27,3,1,11,2,2,0,45,59,3,47,14,73,431
40,50,35,28,27,19,9,24,5,5,12,13,2,1,47,44,1,80,13,107,522
41,30,25,32,17,27,8,42,6,1,8,6,3,2,31,35,2,67,12,75,429
42,21,35,35,11,16,11,30,9,0,7,8,1,24,41,63,0,54,12,108,486
43,20,43,20,7,11,4,32,6,10,12,7,0,29,29,61,4,60,12,101,468
44,10,36,41,13,12,2,45,14,7,6,16,0,42,27,52,1,41,4,76,445
45,5,40,54,5,14,6,57,9,9,12,17,0,24,33,64,1,35,3,99,487
46,13,27,45,3,15,2,39,20,9,13,27,0,25,43,65,3,28,2,49,428
47,8,15,34,2,13,4,25,11,10,13,22,0,10,28,47,6,34,3,47,332
48,8,29,34,0,37,3,25,11,11,13,21,0,8,32,76,12,35,1,69,425
49,5,22,40,5,18,3,14,9,6,19,27,1,8,32,80,5,29,0,49,372
50,7,11,39,1,24,3,22,23,13,4,21,2,31,29,61,4,29,0,57,381
51,17,57,258,2,352,19,156,323,523,187,791,1,333,55,591,192,155,7,471,4490
