"","PERTYPE","MTF","freq"
"1","1","1",1220573
"2","2","1",53234
"3","3","1",0
"4","6","1",2976
"5","8","1",0
"6","Total","1",1276783
"7","1","2",32272
"8","2","2",2042
"9","3","2",0
"10","6","2",1492
"11","8","2",0
"12","Total","2",35806
"13","1","3",0
"14","2","3",0
"15","3","3",84068
"16","6","3",1455
"17","8","3",67903
"18","Total","3",153426
"19","1","4",0
"20","2","4",0
"21","3","4",4494
"22","6","4",93
"23","8","4",0
"24","Total","4",4587
"25","1","5",0
"26","2","5",112049
"27","3","5",0
"28","6","5",0
"29","8","5",0
"30","Total","5",112049
