"","PERTYPE","cdap_activity","freq"
"1",1,"H",108310
"2",1,"M",67903
"3",1,"N",119575
"4",2,"H",232324
"5",2,"N",266553
"6",3,"H",32428
"7",3,"M",6016
"8",3,"N",56686
"9",4,"H",9171
"10",4,"M",88562
"11",4,"N",23719
"12",5,"H",162026
"13",5,"M",1252845
"14",5,"N",214049
"15",6,"H",32664
"16",6,"M",167325
"17",6,"N",89690
"18",7,"H",60548
"19",7,"N",309785
"20",8,"H",89096
"21",8,"N",344491
