coefficient_name,value,constrain
coef_sov_ASC_tnc_single_school,-5.65,F
coef_sov_ASC_tnc_single_shopping,-2.053648787118107,F
coef_sov_ASC_tnc_single_social,1.4350845252893225,F
coef_sov_ASC_tnc_single_univ,-6.65,F
coef_sov_ASC_tnc_single_work,-3.0,F
coef_sov_ASC_tnc_shared_atwork,-9.0,F
coef_sov_ASC_tnc_shared_eatout,0.0,F
coef_sov_ASC_tnc_shared_escort,-4.0,F
coef_sov_ASC_tnc_shared_othdiscr,0.0,F
coef_sov_ASC_tnc_shared_othmaint,-4.0,F
coef_sov_ASC_tnc_shared_school,-5.65,F
coef_sov_ASC_tnc_shared_shopping,-4.0,F
coef_sov_ASC_tnc_shared_social,0.0,F
coef_sov_ASC_tnc_shared_univ,-6.65,F
coef_sov_ASC_tnc_shared_work,-7.0,F
coef_sr2_ASC_sov_atwork,-1.8820220001287933,F
coef_sr2_ASC_sov_eatout,-0.6985063050405461,F
coef_sr2_ASC_sov_escort,-0.37674771876807583,F
coef_sr2_ASC_sov_othdiscr,-0.6985063050405461,F
coef_sr2_ASC_sov_othmaint,-0.37674771876807583,F
coef_sr2_ASC_sov_school,0.3765741677961809,F
coef_sr2_ASC_sov_shopping,-0.37674771876807583,F
coef_sr2_ASC_sov_social,-0.6985063050405461,F
coef_sr2_ASC_sov_univ,-1.6388027751066745,F
coef_sr2_ASC_sov_work,-0.20710239790789484,F
coef_sr2_ASC_walk_atwork,-3.763199606635338,F
coef_sr2_ASC_walk_eatout,-2.2923064881313913,F
coef_sr2_ASC_walk_escort,-4.498417600655954,F
coef_sr2_ASC_walk_othdiscr,-2.2423064881313914,F
coef_sr2_ASC_walk_othmaint,-3.038417600655954,F
coef_sr2_ASC_walk_school,-2.903526932293423,F
coef_sr2_ASC_walk_shopping,-2.558417600655954,F
coef_sr2_ASC_walk_social,-3.012306488131391,F
coef_sr2_ASC_walk_univ,-0.4243756631107547,F
coef_sr2_ASC_walk_work,-2.265272439470766,F
coef_sr2_ASC_taxi_atwork,-4.0,F
coef_sr2_ASC_taxi_eatout,-2.0,F
coef_sr2_ASC_taxi_escort,-3.0,F
coef_sr2_ASC_taxi_othdiscr,-2.0,F
coef_sr2_ASC_taxi_othmaint,-3.0,F
coef_sr2_ASC_taxi_school,-4.0,F
coef_sr2_ASC_taxi_shopping,-3.0,F
coef_sr2_ASC_taxi_social,-2.0,F
