"timebin","purpose","freq_stop","freq_trip"
1,"atwork",0,244.752442726819
10,"atwork",531.492355755525,10369.6624206399
11,"atwork",1430.89073717304,8685.9069317395
12,"atwork",2591.64786075956,13254.3556604212
13,"atwork",1796.14013621638,13992.4870496637
14,"atwork",2509.89980642551,20665.4773058879
15,"atwork",2649.83051821074,16391.0048172666
16,"atwork",2700.93484052659,33626.730963573
17,"atwork",7023.09382225477,56695.0236731586
18,"atwork",9077.74075904958,62165.2397267461
19,"atwork",5173.92290168488,61665.4975308728
2,"atwork",0,375.152775108447
20,"atwork",10144.5826625065,50670.3363809372
21,"atwork",5894.1664471508,32122.5106247045
22,"atwork",2829.36218709215,24865.162999936
23,"atwork",3661.69870501704,22868.9534986695
24,"atwork",1894.96728407676,17119.086706922
25,"atwork",2246.36785611416,12757.6700077132
26,"atwork",1480.34279260545,7093.78015081498
27,"atwork",777.109750703612,9869.74911222292
28,"atwork",1069.69811285518,5152.95863739019
29,"atwork",368.941405207726,1720.08051973654
3,"atwork",0,220.055364463668
30,"atwork",822.416953933484,1399.29871008966
31,"atwork",569.951129274584,2274.75379344436
32,"atwork",105.417695471123,620.407598567211
33,"atwork",175.953862303236,1151.87104255163
34,"atwork",75.054036833173,252.76850343796
35,"atwork",17.1778181189488,192.956635921685
36,"atwork",0,49.1378766962929
37,"atwork",34.7311530649062,50.9135114166354
38,"atwork",0,87.7861162910555
39,"atwork",0,0
4,"atwork",0,122.319905759338
40,"atwork",0,0
41,"atwork",0,0
42,"atwork",0,0
43,"atwork",0,0
44,"atwork",0,0
45,"atwork",0,0
46,"atwork",0,0
47,"atwork",0,0
48,"atwork",0,0
5,"atwork",0,716.556597348748
6,"atwork",0,2201.59911316853
7,"atwork",64.82926394548,6795.13261723373
8,"atwork",405.851288980804,8983.20028689061
9,"atwork",864.850309622277,9265.07881523565
1,"esco",0,3429.6923868139
10,"esco",10255.6605042921,72375.3096761036
11,"esco",12528.1258531258,64582.110404858
12,"esco",17593.9670973674,62565.0241738506
13,"esco",10071.7996035772,38644.8569755034
14,"esco",15290.8840666813,33799.0088391969
15,"esco",8569.32762874486,26188.572937326
16,"esco",11218.3885157939,26048.8576873932
17,"esco",9368.13571510187,27596.1189785517
18,"esco",11265.4796180827,30842.6528869555
19,"esco",10674.9078877821,28637.1122410635
2,"esco",12.1693365360418,410.040368317929
20,"esco",15009.9770334701,32869.1442014984
21,"esco",18429.9931705253,37585.4661359585
22,"esco",20293.4761665387,40111.0053146798
23,"esco",16627.2286240263,42642.8882952783
24,"esco",20658.6964666343,64551.2993842739
25,"esco",29344.0672117511,84002.9727721261
26,"esco",22244.558614226,80316.4079811602
27,"esco",26541.7971992932,82349.0589726193
28,"esco",27707.9580788678,86479.2798399874
29,"esco",22275.5584300796,76853.4545883973
3,"esco",0,496.530871749493
30,"esco",26979.6035266276,79356.5053902874
31,"esco",23710.3002997501,57540.5774002305
