"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",683523.433409008,12518.7520068343,12058.2620177304,768007.22117609,339042.232674505,0,0,118729.624244219
"2",150041.737061545,4910.37589051447,46704.5218992197,398138.431501277,153549.287337859,230710.295013256,136465.870461361,27406.0981350897
"3",81035.5236224103,1511.38673224482,121673.464020382,387524.103492846,176987.49866467,89332.7491750258,104252.828441252,8742.17513593053
"4",4717.92723130543,1378.30737764727,5824.72815112267,47508.3192485138,132518.96517754,8102.40639302133,53713.993193257,55702.9690129196
"5",6960.96709477836,188.250247782807,2723.07743912119,9452.45988419408,12845.8314327134,4901.90027657437,4710.66601360606,527.652156865521
"6",25198.414401606,3796.48328089109,8605.70564531822,29242.3517697352,12151.4412185035,584.19767080029,1954.82299749469,4664.45202768773
"7",17869.7650860319,946.125779124293,0,6527.86290133029,3245.93369985985,0,34.3556362378976,0
"8",1260.9338079154,0,859.520553579831,3784.28460047338,3560.47088781488,0,484.065854409241,34.3556362378976
"9",0,291.590129148569,119165.805474963,10738.9089214085,3350.35173425637,3725.73718647828,86.643552531777,393.850888258014
"10",0,0,0,0,0,0,0,0
"11",722.750573487149,0,147.418445826453,3400.45328372492,2526.65857029491,0,102.873311207634,3975.13313690743
