"","PERTYPE","DAP","freq"
"1",1,"H",1299
"2",1,"M",10260
"3",1,"N",9111
"4",2,"H",263
"5",2,"M",836
"6",2,"N",1471
"7",3,"H",113
"8",3,"M",326
"9",3,"N",624
"10",4,"H",408
"11",4,"N",1148
"12",5,"H",1490
"13",5,"N",5429
"14",6,"H",183
"15",6,"M",489
"16",6,"N",264
"17",7,"H",818
"18",7,"M",2140
"19",7,"N",2204
"20",8,"H",644
"21",8,"M",666
"22",8,"N",1494
