"","PERTYPE","freq"
"1",1,2172341.93453099
"2",2,343096.415453997
"3",3,163579.887255679
"4",4,161854.077023422
"5",5,564493.374729908
"6",6,112222.996329546
"7",7,436602.253000556
"8",8,158725.05784699
